გამოსხივება	გამოსხივ ება
თეოდორემ	თეოდორ ემ
ამბავში	ამბავ ში
კოლაჟი	კოლაჟი
ბერილიუმი	ბერილიუმი
ალბუს	ალბუს
მესა	მე სა
შევჩენკოს	შევჩენ კოს
მკვლევრები	მკვლევრ ები
მარჯნული	მარჯნ ული
წარწერებიდან	წარწერ ებიდან
დაუზიანებელი	დაუზიანებელი
დოკუმენტის	დოკუმენტ ის
მოქნილი	მოქნილ ი
დელეგაცია	დელეგაცი ა
პატიოსანი	პატიოსან ი
წყალთან	წყალ თან
სძლია	ს ძლია
გრანდ	გრანდ
გიგზს	გიგზ ს
გვიხატავს	გვი ხატავს
ლიკვიდაციის	ლიკვიდაცი ის
ბაგრატიონთა	ბაგრატიონ თა
ჯადოქრები	ჯადოქრ ები
მინიმალური	მინიმალ ური
ჯაზური	ჯაზ ური
ბეტონის	ბე ტონის
კოჰორტა	კოჰორტა
ამოწურა	ამოწურ ა
სიდიდე	სიდიდე
მკლავები	მკლავ ები
დანგრევას	დანგრევ ას
ნამუშევრებზე	ნამუშევრ ებზე
აღმატებული	აღმატ ებული
განადგურდა	განადგურ და
გამოწვეული	გამო წვეული
შეტაკებისას	შეტაკ ებისას
ნეკრესის	ნეკრე ს ის
აპოგეას	ა პოგე ას
სეიანუსი	ს ე იან უსი
ჩანაცვლება	ჩანაცვლებ ა
კორპუსები	კორპუს ები
რელიგიაზე	რელიგი აზე
კორონაციის	კორონ აციის
სამიზნის	სა მიზნ ის
ერთადაც	ერთად აც
ბრიტანეთის	ბრიტანეთ ის
განტოლება	განტოლებ ა
დახარისხება	და ხარისხ ება
ეტაპობრივად	ეტაპ ობრივად
გადაწვა	გადა წვა
მითითებით	მითით ებით
აზიური	აზიური
არათანაბრად	არა თანაბრ ად
ორგანიზაციამ	ორგანიზაცი ამ
დაუსვეს	და უსვეს
გამოსახავდა	გამოსახ ავდა
ალბომებში	ალბომ ებში
დასაკვირვებლად	დასა კვირვ ებლად
დაყუდებული	დაყუდ ებული
პოლს	პოლ ს
სპეციალობის	სპეციალ ობის
სტეპური	სტეპ ური
სიმღერებისგან	სიმღერ ებისგან
მაღაზიაში	მაღაზი აში
დებიუტის	დებიუტ ის
ფილოსოფიამ	ფილოსოფი ამ
ესწრაფოდა	ე სწრაფო და
ბაროკოს	ბარო კოს
პირობითი	პირობით ი
მონა	მონა
საბადოები	საბადო ები
ცეკვავს	ცეკვ ავს
ხარისხობრივი	ხარისხ ობრივი
ჭალაში	ჭალა ში
მოკავშირეების	მოკავშირე ების
დუშეთის	დუშეთ ის
დაგორ	და გორ
დამზადებისას	დამზად ებისას
ლოცულობს	ლოცულობ ს
მიიჩნევა	მიიჩნევ ა
ნაწარმოებებზე	ნაწარმოებ ებზე
რუხ	რუხ
შენაძენია	შენაძენი ა
მენშევიკური	მენშევ იკური
კიდურებით	კიდურ ებით
დგებიან	დგ ები ან
მცხეთის	მცხეთ ის
აბსოლუტურად	აბსოლუტურ ად
გაწევრიანების	გაწევრიან ების
სიფრთხილე	ს ი ფრთხილ ე
მოლოდინი	მოლოდინ ი
ფინალურ	ფინალურ
სახელმწიფოსა	სახელმწიფო სა
ვერტმფრენი	ვერტმფრენ ი
მარტინ	მარტინ
ასპირანტურის	ასპირანტ ურის
ჯანელიძე	ჯანელიძ ე
კაიზერი	კაიზერ ი
რსდმპ	რსდმპ
პალმის	პალმ ის
ტელესერიალებში	ტელე სერიალ ებში
აღმოუჩინა	აღმოუჩინ ა
ინდივიდუალურ	ინდივიდ უალურ
წიწვოვანი	წიწვოვან ი
დოს	დოს
მრეწველმა	მრეწველ მა
მტკიცებულებას	მტკიცებულ ებას
იკეთებენ	იკეთ ებენ
კონცხთან	კონცხ თან
ნეიმარს	ნეიმარ ს
ერთს	ერთ ს
მატარებელია	მატარებელ ი ა
საუკუნოვან	საუკუნოვან
არეალი	არეალ ი
ფსიქიატრიის	ფსიქიატრი ის
იონებს	იონ ებს
ნამუშევარს	ნამუშევარ ს
ჰიპოთეზა	ჰიპოთეზ ა
ხაზის	ხაზ ის
კლაუდიო	კლ აუდიო
აღმოცენებული	აღმოცენ ებული
როდრიგესი	როდრიგეს ი
წინასწარმეტყველება	წინასწარ მეტყველ ება
მონაცემებით	მონაცემ ებით
მათმა	მათ მა
ქვრივის	ქვრივ ის
სიგნალს	სიგნალ ს
სტრუქტურაზე	სტრუქტურ აზე
განიხილავდნენ	განიხილ ავდნენ
აღმოჩენიდან	აღმოჩენ იდან
თუთხალია	თუ თხალია
შავიშვილი	შავი შვილი
გაგრძელებაა	გაგრძელ ება ა
მეფისნაცვალი	მეფის ნაცვალი
მარიანას	მარიან ას
ოლიმპიადების	ოლიმპი ად ების
ხანძარი	ხანძარ ი
კატაკლიზმები	კატაკლიზმ ები
სამ	სამ
კავსაძე	კავს აძე
რაჭაში	რაჭ აში
ავტობუსი	ავტობუს ი
მოცულობით	მოცულობ ით
კოლონია	კოლონი ა
ნუნუ	ნუნუ
გამოსახვა	გამო სახვა
სექსით	სექს ით
წამოიღებ	წამო იღებ
ნულს	ნულ ს
პროკურორის	პროკურორ ის
ანთროპოლოგიურ	ანთროპოლოგი ურ
სირთულეებს	სირთულე ებს
ცდა	ცდა
უჯრედთა	უჯრედ თა
გამეფდა	გამეფ და
ციფრის	ციფრ ის
ბაზიდან	ბაზ იდან
ნადირობისას	ნადირობ ისას
სავანის	სავან ის
დინებას	დინება ს
მადლი	მადლ ი
პროდიუსერად	პროდიუსერ ად
ხელოვნებაში	ხელოვნება ში
ტრილოგიას	ტრილოგი ას
აღიარა	აღიარ ა
აღიმართება	აღიმართ ება
გაყოლებით	გაყოლ ებით
ფენტეზი	ფენტეზ ი
მეცნიერს	მეცნიერ ს
ცერემონიალები	ცერემონ იალები
იზოლირებულ	იზოლირებ ულ
მდგომარეობამდე	მდგომარეობ ამდე
ხილით	ხილ ით
დასაღწევად	და საღწევად
წითელს	წითელ ს
ყოფილიყოს	ყოფილიყო ს
გაზაფხულიდან	გაზაფხულ იდან
ქაბულში	ქაბულ ში
სერიიდან	სერი იდან
ავტორს	ავტორ ს
ორაკულმა	ორაკ ულმა
საექიმო	ს ა ექიმ ო
გაიგოს	გაიგო ს
ფარერებზე	ფარერ ებზე
მიძღვნილი	მიძღვნილ ი
წოდებრივი	წოდებ რივ ი
მაჟორიტარულ	მაჟორიტარ ულ
დიზრაელი	დიზრაელი
მკურნალი	მკურნა ლი
ტელეწამყვანი	ტელე წამყვან ი
უფალთან	უფალ თან
წუთიან	წუთ იან
მხარეებში	მხარე ებში
სკამი	სკამ ი
ვიქეიფოთ	ვიქე ი ფოთ
დევნიდა	დევნი და
ლუდოვიკო	ლუ დოვიკო
ფოტოებს	ფოტო ებს
ინფიცირება	ინფიცირ ება
ფირალები	ფირ ალ ები
გერმანისტიკული	გერმან ისტ იკული
აღიქვამდნენ	აღიქვ ამ დნენ
ინგლისურენოვან	ინგლისურ ენოვან
გაამძაფრა	გაა მძაფრ ა
სეზონები	სეზონ ები
სუფრის	სუფრ ის
შეემცირებინათ	შეემცირ ებინათ
ჯანაშიას	ჯანაში ა ს
უდინეზეში	უდინე ზე ში
ოკეანეს	ოკეანე ს
ლინგვისტიკის	ლინგვისტიკ ის
მონაცემით	მონაცემ ით
ოკეანე	ოკეანე
დენა	დენა
მთისძირში	მთის ძირ ში
წყევლა	წყევლ ა
თემო	თემ ო
გამოხატა	გამოხატ ა
კრემაცია	კრემ აცია
მალაის	მალა ის
ლაზისტანის	ლაზ ის ტანის
პოვნის	პოვნ ის
ბაქრაძეს	ბაქრაძე ს
მილანში	მილან ში
შებრუნებული	შებრუნ ებული
ირანელი	ირანელ ი
იცოდა	იც ოდა
სტენლი	სტენლი
უფლებამოსილია	უფლებამოსილი ა
შეხებისას	შეხ ებისას
აღსდგა	აღ ს დგა
დასახლებულა	დასახლებ ულ ა
იონი	იონი
იქცეს	იქცეს
ცენტრალურ	ცენტრალურ
აკვანს	აკვან ს
უმეტესობა	უმეტეს ობა
კონტინენტზე	კონტინენტ ზე
მაროკოს	მაროკო ს
ხეებზე	ხე ებზე
მერანი	მერანი
გასპარ	გასპარ
უძლებდა	უძლ ებდა
გახურებული	გახურ ებული
მრავალრიცხოვან	მრავალრიცხოვან
შერწყმულია	შერწყმ ულია
თოთიბაძე	თო თიბ აძე
აჯილდოებენ	ა ჯილდო ებენ
ბელერიანდში	ბელერიანდ ში
მაგნეტო	მაგნეტ ო
მუდმივი	მუდმივ ი
ურთიერთდაკავშირებული	ურთიერთ დაკავშირებულ ი
ხრუშჩოვმა	ხრუშჩოვ მა
ჩვევების	ჩვევ ების
პანტოკრატორის	პანტო კრა ტორის
თანაცხოვრების	თანაცხოვრ ების
რას	რას
სიტყვებზე	სიტყვ ებზე
კედლიდან	კედლ იდან
თვითღირებულება	თვით ღირებულებ ა
ფსიქოლოგმა	ფსიქოლოგმა
ოსმალეთის	ოსმალეთ ის
მეისონმა	მეისონ მა
იარაღად	იარაღ ად
მსგავსებისა	მსგავ ს ებისა
კვიპროსში	კვიპროს ში
აქვეა	ა ქვე ა
სევერუსის	სევერუს ის
წარმოსახვა	წარმოსახვ ა
გადაბმულად	გადაბმულ ად
ჩეროკებს	ჩეროკ ებს
მზის	მზის
პირიქით	პირიქით
ადამიანზე	ადამიან ზე
მოვალეობების	მოვალეობ ების
გარანტიას	გარანტი ას
ორკლასიანი	ორკლასიან ი
ეხება	ეხ ება
გაერთიანებულნი	გაერთიან ებულნი
მნიშვნელოვანი	მნიშვნელ ოვანი
კონფლიქტებს	კონფლიქტ ებს
ახალგორის	ახალგორ ის
რაიხსტაგი	რაიხსტაგ ი
ერთეულების	ერთეულ ების
არაბეთისა	არაბეთ ისა
მოაწყდა	მოაწყ და
წინაპრად	წინაპრ ად
კორპუსი	კორპუს ი
დასასრული	დასასრულ ი
შეკვეთების	შეკვეთ ების
სადამ	სადამ
ფაქტი	ფაქტ ი
ნაგებობებთან	ნაგებობ ებთან
განაყოფიერება	განაყოფიერებ ა
ისიც	ის იც
ნოტები	ნოტ ები
სისქისაა	სისქის ა ა
კრიპტოსისტემა	კრიპტო სისტემა
საწარმოებს	საწარმო ებს
ძველს	ძველ ს
დაკიდული	დაკიდ ული
საკურსო	ს ა კურს ო
ინდოეთსა	ინდოეთ სა
ოჯახთან	ოჯახ თან
ისაა	ისა ა
მერგელებით	მერგელ ებით
ბერიმ	ბერი მ
გაიყინა	გაი ყინ ა
წაუკიდეს	წაუ კიდე ს
ჟანრების	ჟანრ ების
ბავარია	ბავარი ა
ფიქრობდნენ	ფიქრობ დნენ
ბურგერ	ბურგერ
გულზე	გულ ზე
დასასჯელად	და სასჯელად
ზედაპირებს	ზედაპირ ებს
თვალსაზრისს	თვალსაზრ ის ს
დაგროვილი	დაგროვ ილ ი
გადახტა	გადა ხტა
დაანგრია	დაანგრი ა
სვიმონ	სვიმონ
ტეტის	ტეტი ს
განხორციელდა	განხორციელ და
რუსთავს	რუსთავ ს
ინტერაქტიული	ინ ტერაქტი ული
შვიდივე	შვიდი ვე
კარიერი	კარიერ ი
ბაზილიკაში	ბაზილიკ აში
კიბის	კიბ ის
ხარჯების	ხარჯ ების
სიუხვით	სიუხვ ით
რეგულირებას	რეგულირ ებას
დაადგა	დაა დგა
პროფესორმა	პროფესორ მა
ინტერში	ინტერ ში
აგროვებდა	აგროვ ებდა
ფეოდალები	ფეოდალ ები
მდინარეებით	მდინარე ებით
ლიზინგის	ლიზინგი ს
თოთხმეტი	თოთხმეტ ი
აღთქმის	აღთქმ ის
ბილ	ბილ
დაამატეს	დაამატ ეს
ვახტანგ	ვახტანგ
უცვლელია	უცვლელ ია
კონგოში	კონგო ში
ემორჩილებიან	ე მორჩილ ებიან
ირლანდიას	ირლანდი ა ს
პროგრესი	პროგრეს ი
ტანჯვა	ტანჯვ ა
ბალტიმორში	ბალტი მორ ში
თასი	თა სი
გასაფართოებლად	გასა ფართო ებლად
ფესტივალის	ფესტივალ ის
კონკისტადორებს	კონკის ტადორ ებს
გალავანთან	გალავან თან
კალოს	კალოს
სადილად	სადილ ად
გაათავისუფლა	გაათავისუფლ ა
თმას	თ მა ს
გულშემატკივრის	გულშემა ტკივრ ის
ლევანმა	ლევან მა
მეტსახელია	მეტსახელ ი ა
აფთარი	აფთ არი
წარმოებული	წარმოებულ ი
მარცხნივ	მარცხ ნი ვ
დაპირისპირებამ	და პირისპირ ებამ
კალმით	კალ მით
უმაგრებდა	უმაგრ ებდა
პატივის	პატივ ის
ესმით	ეს მით
იდაყვის	იდაყვ ის
ანდრეას	ანდრე ას
გადმოცემებში	გადმოცემ ებში
მაიერი	მა ი ერი
გაუვალ	გაუვალ
ტიბერიუს	ტიბერიუს
სასკაჩევანის	ს ას კა ჩევანის
არჩილს	არჩილ ს
მხატვარმა	მხატვარ მა
გრამფირფიტა	გრამფირფიტ ა
ფარავს	ფარავ ს
ხასიათიდან	ხასიათ იდან
საპატიო	სა პატი ო
გამოდგება	გამო დგება
ცვლადის	ცვლად ის
პაუელმა	პაუელ მა
უბან	უბან
ფონდმა	ფონდ მა
ჰიმნის	ჰიმნ ის
ფორმირებისას	ფორმირებ ისას
ესპანელთა	ესპანელ თა
წყალტუბო	წყალტუბო
ღამის	ღამ ის
აზევების	აზევ ების
დასაპყრობად	და საპყრობად
კანონიკური	კანონიკურ ი
მხატვრობის	მხატვრ ობის
კორსო	კორ ს ო
მელიქ	მელიქ
სპარსელ	სპარსელ
პოპულარიზაციაში	პოპულარიზაც იაში
აღმოაჩენს	აღმოაჩენ ს
ლიპტონის	ლი პტონის
უწყლო	უწყლო
კავშირი	კავშირ ი
გეგმაზომიერად	გეგმა ზომიერ ად
ჯორდანმა	ჯორდან მა
მასური	მა ს ური
კლუბებსა	კლუბ ებს ა
გოლის	გოლ ის
მიახლოებითი	მიახლო ებით ი
გლუვია	გლუვ ია
ასოსაგან	ას ო სა გან
თომასის	თომას ის
სანსკ	სან სკ
თითების	თით ების
სეტყვა	ს ეტყვ ა
ჩასული	ჩასულ ი
კლიმატის	კლიმატ ის
დედოფალი	დედოფალ ი
მუნიციპალიტეტებში	მუნიციპალიტეტ ებში
ოსმალების	ოსმალ ების
ფეხით	ფეხ ით
ხაშურის	ხაშურ ის
მოღალატეს	მოღალატე ს
წესზე	წეს ზე
ბარტი	ბარტ ი
ჰენრის	ჰენრი ს
რომლიც	რომლ იც
სტატიებში	სტატი ებში
მოკვდებოდა	მოკვდ ებოდა
ჩარიცხა	ჩარიცხ ა
ვანო	ვან ო
ღვთაებებს	ღვთაებ ებს
ქვემოთ	ქვემოთ
ბაცი	ბაცი
განვითარებაზე	განვითარ ება ზე
უხერხემლოთა	უ ხერხემლო თა
დისკში	დისკ ში
სწამდათ	სწამ დათ
კერესელიძე	კერესელიძ ე
მკერდი	მკერდ ი
დავამთავრეთ	და ვამთავრეთ
სააგარაკო	ს ა აგარაკ ო
პარტიზანული	პარტიზან ული
ნაშრომში	ნაშრომ ში
საზონათშორისო	საზონათ შორის ო
ცენტრსა	ცენტრ სა
ყოველწლიურად	ყოველწლიურ ად
ავლენდა	ავლენდა
იგნორირება	იგნორ ირება
დაქორწინებულიყო	დაქორწინებ ულიყო
თვითმფრინავს	თვითმფრინავ ს
მაკედონელმა	მა კედონელ მა
ვიყავით	ვიყავ ით
სიმაღლით	სიმაღლ ით
ფაბიუს	ფაბიუს
მანდატით	მანდატ ით
დააანონსა	დააან ონსა
პლაზმური	პლაზმ ური
დაფეხმძიმდა	და ფეხმძიმ და
შეერწყნენ	შეერწყ ნენ
ძვირფასი	ძვირფას ი
დაეპყრო	და ეპყრო
ვორმსის	ვორ მს ის
აიაქსმა	აიაქს მა
ბრუნვით	ბრუნვ ით
დედოფალ	დედოფალ
რიტუალია	რიტუალ ი ა
აზნაურის	აზნაურ ის
იწერდა	ი წერდა
დედაა	დედა ა
ქალად	ქალ ად
დამიწყებს	დამიწყ ებს
მუშაობის	მუშაობ ის
სამთა	ს ამ თა
დეპუტატმა	დეპუტატ მა
თქმას	თქმ ას
მათივე	მათ ივე
მტკიცდება	მტკიც დება
საქციელი	საქციელ ი
გრძნობს	გრძნობ ს
კურსდამთავრებულთა	კურს დამთავრ ებულთა
ცეცხლიდან	ცეცხლ იდან
მაისში	მა ის ში
სარკეში	სარკე ში
ჭამდა	ჭამ და
მოლეკულას	მოლეკულ ას
ხაზები	ხაზ ები
შუა	შუა
დაკიდებული	დაკიდ ებული
დახმარებას	დახმარ ებას
ზომიერია	ზომ იერი ა
თავდასხმებით	თავდასხმ ებით
მატარებლებს	მატარებლ ებს
სამკლაური	სამ კლა ური
განიცდის	განიცდი ს
ითვისებს	ი თვისებ ს
სატრფოს	სატრფო ს
ხალდის	ხალ დის
მიაწოდეს	მიაწოდ ეს
სანგრების	სანგრ ების
ყინულით	ყინულ ით
ჟანგბადთან	ჟანგბად თან
ვირის	ვირ ის
ცხენისწყლის	ცხენ ისწყლის
ძალებს	ძალ ებს
ველოსიპედი	ველოსიპედ ი
ბარისა	ბარი სა
თამაშებისათვის	თამაშ ებისათვის
პირველობა	პირველობ ა
ხელმომწერი	ხელ მო მწერ ი
გადაჰყავს	გადა ჰყავს
მორიელები	მორიელ ები
შავმიწები	შავმიწ ები
ვერავის	ვერა ვის
მესხეთი	მესხ ეთი
გააკეთა	გააკეთ ა
დამცველი	დამცველ ი
მარტორქა	მარტო რქა
პოლონურად	პოლონურ ად
კოშკში	კოშკ ში
მოჩვენებები	მოჩვენებ ები
როტშილდის	როტშილდის
ვარსკვლავების	ვარსკვლავ ების
იქით	იქით
ატარებდნენ	ატარ ებდნენ
აცტეკური	აცტეკ ური
თევზჭერა	თევზჭერ ა
კიდის	კიდ ის
განშორების	განშორ ების
ქურთების	ქურთ ების
სახაზინო	სა ხაზინ ო
გემებზე	გემ ებზე
გამოშვებას	გამოშვ ებას
ვიაჩესლავ	ვიაჩესლავ
ნავარის	ნავარ ის
ფირზე	ფირ ზე
წაეკითხა	წა ეკითხ ა
წარმოადგინეს	წარმოადგინ ეს
გადასცემენ	გადასცემ ენ
კანცელარიაში	კანცელარ იაში
ალბას	ალბა ს
ლერმონტოვის	ლერმონტ ოვის
შებრტყელებული	შე ბრტყელ ებული
ათეულის	ათეულ ის
ფედერიკო	ფედერიკო
მაჯის	მა ჯის
კურჩატოვის	კურჩატოვ ის
დამსახურება	და მსახურ ება
აღმართულია	აღმართ ულია
კართაგენელების	კართაგენელ ების
აღნიშვნას	აღნიშვნ ას
ერისთავმა	ერისთავ მა
ევროკავშირს	ევროკავშირ ს
სეპარატისტების	სეპარატისტ ების
უკმარისობის	უკმარისობ ის
გამოსვლაზე	გამოსვლ აზე
უფროს	უფროს
ქალაქს	ქალაქ ს
სამეწარმეო	სა მეწარმეო
გვიანფეოდალური	გვიანფეოდალ ური
მოყვანილია	მოყვან ილია
მზითვად	მზ ით ვად
წარმოქმნისა	წარმოქმნ ისა
შეუშალოს	შეუშალ ოს
ულტრაფუძე	ულ ტრა ფუძე
ტაშკენტის	ტაშ კენტის
შელბი	შელბი
შერთეს	შე რთეს
ახორციელებენ	ახორციელებ ენ
განვსაზღვროთ	განვ საზღვრ ოთ
დოკუმენტაცია	დოკუმენტ აცია
დომ	დომ
პარკებს	პარკ ებს
პოზას	პოზ ას
მოწყობილ	მო წყობილ
სავარჯიშო	სა ვარჯიშ ო
ბალაკი	ბალ აკი
კატასტროფა	კატასტროფ ა
მელა	მელა
ვიდეო	ვიდეო
კომენტარებით	კომენტარ ებით
აღარაა	აღარა ა
წარწერებია	წარწერ ებია
ხმელთაშუაზღვის	ხმელთაშუაზღვ ი ს
პოემა	პოემ ა
ეკონომიკური	ეკონომიკურ ი
ტრაგედიამ	ტრაგედი ამ
მათაც	მათ აც
მიგრაციას	მიგრაცი ას
ხე	ხე
ბრატისლავის	ბრატი სლავ ის
ხოსეპ	ხოსე პ
მოერიდა	მოერიდა
გაცხოველებული	გა ცხოველ ებული
მოგერიებას	მოგერიება ს
სახლში	სახლ ში
ახერხებდნენ	ა ხერხ ებდნენ
რიტუალურ	რიტუალ ურ
ბაზალტი	ბაზალ ტი
მარკას	მარკ ას
გაბაასებაში	გაბაას ებაში
ფუძეები	ფუძე ები
შენგელაია	შენგელა ია
გულდი	გულდი
იროკეზები	იროკეზ ები
გოიას	გო ი ას
დაკარგული	დაკარგულ ი
მეურნეობისათვის	მეურნეობ ისათვის
უცნობია	უცნობ ია
გამოყენებით	გამოყენ ებით
დაიბომბა	და ი ბომბ ა
ეზოში	ეზო ში
სცოდნოდა	ს ცოდნ ოდა
დმიტრი	დმი ტრი
ჯგუფისათვის	ჯგუფ ისათვის
წინსვლას	წინსვლ ას
ნალექები	ნალექ ები
მიჰგვარა	მიჰგვარ ა
გრაფიკი	გრაფიკ ი
ურუგვაიმ	ურუგვაი მ
დაედო	დაედო
სახლით	სახლ ით
ბიძაშვილთან	ბიძაშვილ თან
ბეთჰოვენის	ბეთჰოვენის
ქმნის	ქმნის
ინდუისტური	ინდუ ისტური
ასისტენტი	ასისტენტ ი
წარმომადგენელია	წარმომა დგენელი ა
მჭიდროდაა	მჭიდროდაა
დაჰყავდათ	და ჰყავდათ
მჯდარი	მჯდარი
სიტყვამ	სიტყვ ამ
ბორნეოს	ბორნე ოს
მსხვერპლნი	მსხვერპლ ნი
სვიტის	ს ვიტ ის
უილიამ	უილიამ
გადარჩენაზე	გადარჩენ აზე
მარცვლეული	მარცვლ ეული
ხაზგასმული	ხაზგასმ ული
ტყვია	ტყვია
მიბაძვით	მიბაძ ვით
ნაშიერი	ნაშიერ ი
ასრულებს	ასრულ ებს
შრომებში	შრომ ებში
შეფუთვა	შეფუთვ ა
მონახულება	მონახულ ება
ალგეთის	ალგეთ ის
პილოტის	პილოტ ის
გამახვილებული	გა მახვილ ებული
სიუხვე	სიუხვ ე
ღრუბლიანი	ღრუბლ იანი
ვერცხლისფერ	ვერცხლ ის ფერ
სახელსა	სახელ სა
კორიუნის	კორი უნის
კონკრეტულ	კონკრეტულ
გვარსა	გვარ სა
ორკესტრისთვის	ორკესტრ ისთვის
ჩამოსული	ჩამოსულ ი
ბრიტანეთს	ბრიტანეთ ს
წესრიგის	წესრიგ ის
ხმით	ხმ ით
მომთაბარეთა	მომთაბა რე თა
მალაგასიურ	მალაგასი ურ
მურაა	მურა ა
სისხლიან	სისხლიან
ლეილი	ლე ილი
უფლებამოსილებები	უფლება მოსილ ებები
კვალიფიკაცია	კვალიფიკაცი ა
წელიწადში	წელიწად ში
თხრილის	თხრილ ის
დარღვევები	დარღვევ ები
მსხვილია	მსხვილ ია
ხაიამის	ხაია მის
მუშაკად	მუშაკ ად
განხორციელებაში	განხორციელ ებაში
დარქმევა	და რქმევ ა
იკვებებოდნენ	იკვებ ებოდნენ
დაშვებულია	დაშვებულ ია
უქონლობა	უქონლობ ა
მოკვდება	მოკვდ ება
აცნობენ	ა ცნობენ
სამხატვრო	სა მხატვრ ო
კოორდინატორი	კოორდინ ატორი
შიფრები	შიფრ ები
მინდაუგასის	მინდაუგ ას ის
სადღეღამისო	სა დღეღამ ის ო
მიგრაცია	მიგრაცი ა
კვანტურ	კვანტურ
დაემატა	დაემატა
განაგებდნენ	განაგებ დნენ
განარისხა	განარისხა
ქვეყნებმა	ქვეყნ ებმა
დამარილებული	დამარილებულ ი
ხელშეკრულებების	ხელშეკრულ ებების
გარშემორტყმულ	გარშემო რტყმულ
პოსტების	პოსტ ების
ბიოლოგიურად	ბიოლოგი ურად
ვაჟისთვის	ვაჟ ისთვის
მადონა	მადონა
გააპროტესტა	გაა პროტესტ ა
მარადმწვანე	მარ ად მწვანე
ცხრილში	ცხრილ ში
კანდიდატმა	კანდიდატ მა
ბილბაოს	ბილბაოს
ომბუდსმენის	ომ ბუდ ს მენის
ჯეისონ	ჯეისონ
ემორჩილებოდა	ე მორჩილ ებოდა
წასვლის	წასვლ ის
მოჭადრაკის	მოჭადრაკ ის
ილორის	ი ლორის
სოხუმში	სოხუმ ში
თავდაუზოგავი	თავდაუზო გავი
ჩადო	ჩადო
მტერია	მტერ ია
კვლევებმა	კვლევ ებმა
ექსპერტთა	ექსპერტ თა
ნიობიუმის	ნი ობ იუმის
მკლავს	მკლავ ს
უიტნის	უიტნი ს
ყავისფერ	ყავისფერ
ესტონეთში	ესტონეთ ში
მოჰყავდა	მო ჰყავდა
კონსულს	კონსულ ს
გაჩერებას	გაჩერ ებას
ალუტიკები	ალუტიკ ები
სრულფასოვანი	სრულფას ოვანი
ჩაკეტილი	ჩაკეტილ ი
ხილვით	ხილვ ით
ჩინით	ჩინ ით
მკვლელობაში	მკვლელობ აში
ლონდონურ	ლონდონ ურ
სამაგიეროდ	სა მაგიერ ოდ
ჩარლზ	ჩარლზ
მომხმარებლებს	მო მხმარებლ ებს
აზრებს	აზრ ებს
ეწინააღმდეგება	ე წინააღმდეგ ება
კორტესს	კორტე ს ს
კუთხიდან	კუთხ იდან
აღნიშნულის	აღნიშნულ ის
მცენარეებისგან	მცენარე ებისგან
ბო	ბო
ჯოტო	ჯოტო
ასოციაცია	ასოციაცი ა
აღმოჩენას	აღმოჩენ ას
მატებდა	მატ ებდა
მწოლიარე	მწოლი არე
საჩემპიონო	ს ა ჩემპიონ ო
ფილოლოგიური	ფილოლოგი ური
თავდასხმებმა	თავდასხმ ებმა
დედას	დედა ს
ვიქტორია	ვიქტორი ა
მსგავსად	მსგავ ს ად
ანაწილებდა	ა ნაწილ ებდა
გარდაცვლილებს	გარდაცვლილ ებს
თაობისთვის	თაობ ისთვის
ქერცლებით	ქერცლ ებით
ემუხვარი	ემუხვარი
ჰიპერსივრცეში	ჰიპერ სივრცე ში
მიცვალებულებს	მიცვალებულ ებს
გასაკეთებლად	გასაკეთ ებლად
შორენა	შო რენა
ოცდაათწლიანი	ოცდა ათ წლიანი
წარმოებს	წარმო ებს
იძულებულნი	იძულებულ ნი
მეორის	მეორ ის
ფილტვები	ფილტვ ები
მოძრავია	მოძრავ ი ა
ნაცისტებს	ნაცისტ ებს
ჩამონათვალში	ჩამონათვალ ში
თამაზის	თამაზ ის
მკვიდრთა	მკვიდრ თა
მეფისნაცვლის	მეფის ნაცვლ ის
შეცვლილა	შეცვლ ილ ა
საწოლზე	საწოლ ზე
რესტორნების	რესტორ ნების
კეპლერმა	კეპლერ მა
კონტექსტი	კონტექსტ ი
მომგვრელი	მო მგვრელი
ღვთისმოშიში	ღვთის მო ში ში
განედების	განედ ების
ჯაჭვი	ჯაჭვ ი
მოინახულა	მოინახულ ა
დაესხნენ	დაესხ ნენ
აქა	აქა
ალვარო	ალვარ ო
სიმბოლო	სიმბოლო
მწიფე	მწიფე
დათვები	დათვ ები
ზედსართავი	ზედ სართავი
ზარალის	ზარალ ის
ჰეზბოლა	ჰეზბოლა
ცხოვრებისეული	ცხოვრებ ისეული
გათხარეს	გათხარ ეს
სტუდიაში	სტუდი აში
მადლობა	მადლობ ა
ვიოლინოს	ვიოლინო ს
მინდობილი	მინდობილი
პროზის	პროზის
მშვიდობა	მშვიდობ ა
რეგულარულ	რეგულარულ
მაჩვენებელმა	მაჩვენებელ მა
მატჩიანი	მატჩ იანი
თხზულებანი	თხზულებ ანი
გამგებელს	გამგებელ ს
გადინება	გა დინება
მიმზიდველ	მიმზიდველ
მოეყვანა	მო ეყვანა
პირას	პირ ას
ავლებს	ავლ ებს
გლიკოგენის	გლიკო გენ ის
ესენინი	ესენინ ი
კოორდინაციის	კოორდინ აციის
ჩემს	ჩემ ს
ახალგაზრდებმა	ახალგაზრდ ებმა
გულუბრყვილო	გულუბრყვილო
იტაცებდა	იტაც ებდა
მაშნ	მა შნ
გამოიყენებდნენ	გამოიყენ ებდნენ
საკითხების	საკითხ ების
