ბათუმში	ბათუმ ში
მეცნიერთა	მეცნიერ თა
იყოფა	იყოფ ა
ნოტიოა	ნოტი ო ა
სავარჯიშო	სა ვარჯიშ ო
ოფიცრებს	ოფიცრ ებს
გადმოსული	გადმო სულ ი
საქონელის	სა ქონელ ის
სახელფასო	სა ხელფას ო
ფინანსების	ფინანს ების
ბრწყინავდა	ბრწყინ ავ და
ჩარლზს	ჩარლზ ს
დაუსახლებელია	და უ სახლ ებელ ი ა
ტანია	ტან ი ა
დამარცხებას	დამარცხ ებ ას
ნაკლებობას	ნაკლებ ობა ს
ჯირკვლების	ჯირკვლ ების
აღმატებული	აღმატ ებული
ეპოქაში	ეპოქ აში
საქმრო	საქმრო
ნელსონი	ნელსონ ი
მხედრებს	მხედრ ებს
ლომბარდის	ლომბარდ ის
შენახვას	შე ნახვ ას
გამოშვებული	გამოშვ ებული
ჰესი	ჰეს ი
პელემ	პელ ემ
რითიც	რით ი ც
გავიარო	გავ ი არ ო
შეეჯახნენ	შე ეჯახ ნ ენ
გლობალმედ	გლობალმედ
ტერასებზე	ტერას ებ ზე
ომანის	ომ ან ის
ორგაზმი	ორგაზმ ი
უნებლიეთ	უნებლი ეთ
ეკლესიამ	ეკლესი ამ
ინფორმაციულ	ინფორმაცი ულ
მოსვლია	მოსვლ ი ა
ჰამასის	ჰამას ის
საუბარს	საუბარ ს
ენქიდუ	ენქიდუ
დევიდის	დევიდ ის
უარს	უარ ს
ჰადესში	ჰადეს ში
დახურულია	დახურ ულ ი ა
ნოველაზე	ნოველ ა ზე
თანამემამულეების	თანა მემამულე ებ ის
თოჯინები	თოჯინ ები
დაასხა	დაასხ ა
აიეტმა	აიეტ მა
ინფორმაციის	ინფორმაცი ის
მარზპანი	მარ ზპან ი
განსაკუთრებულ	გან საკუთრ ებულ
ერთდროულად	ერთდრო ულად
პოსპოლიტა	პოსპოლიტა
იღუმენის	იღუმენი ს
რკინიგზით	რკინიგზ ით
ბმული	ბმულ ი
სუსის	სუს ის
დამსახურებულად	დამსახურ ებ ულად
თვალის	თვალ ის
იაფ	იაფ
გვაცნობს	გვა ცნობ ს
საწყალი	სა წყალ ი
ტერიტორიასაც	ტერიტორ ი ას აც
ტრაგიკულად	ტრაგიკ ულად
იგლესიასმა	იგლესი ას მა
მიწათა	მიწ ათ ა
ეპისტოლეები	ე პისტოლ ე ები
ესტონეთს	ესტონეთ ს
მემკვიდრული	მე მკვიდრ ული
ძირითადმა	ძირითად მა
გაფართოებას	გაფართო ებ ას
უხილავია	უხილავ ი ა
სამფლობელოს	სა მფლობელ ო ს
ტაძარზე	ტაძარ ზე
სურათით	სურათ ით
კიდებდნენ	კიდ ებ დნენ
მედალს	მედალ ს
მოჩუქურთმებული	მო ჩუქურთმ ებული
აღრიცხული	აღრიცხ ული
უპყრია	უ პყრ ი ა
ეკუთვნოდნენ	ეკუთვნ ო დნენ
გაეძევებინათ	გა ეძევ ებ ინათ
მატრონა	მატრონ ა
ორგანიზმებში	ორგანიზმ ებში
ნაბიჯს	ნაბიჯ ს
ახალია	ახალ ი ა
იაპონელებს	ი აპონ ელ ებს
დირკ	დირკ
მოსწავლეების	მო სწავლ ე ებ ის
ტელეარხი	ტელეარხ ი
ათონის	ათ ონის
სისხლში	სისხლ ში
დასაქმება	დასაქმ ება
ეტრუსკული	ეტრუსკ ული
ფლოიდი	ფლოიდ ი
მონოგრაფიის	მონოგრაფი ის
ლიპარტიანი	ლიპარტიან ი
ხელახლა	ხელ ახლ ა
რეკომენდაციას	რე კომენდაცი ას
წარმოქმნა	წარმოქმნ ა
წერტილის	წერტილ ის
გაგიჟებულია	გა გიჟ ებული ა
დაიჭირა	დაიჭირ ა
ვინცხები	ვინცხ ები
იანვრიდან	იანვრ იდან
გამოცდის	გამოცდ ის
უბრუნდება	უბრუნდ ება
კლუბები	კლუბ ები
წინათ	წინ ათ
თემურის	თემურ ის
შეკავებას	შეკავ ებ ას
სიუჟეტები	სიუჟეტ ები
გამომც	გამო მ ც
ნაწილადაა	ნაწილ ად აა
წინაპარია	წინაპარ ია
ჰყვარებია	ჰ ყვარ ები ა
ბოლშევიკები	ბოლ შე ვიკ ები
ბელად	ბელ ად
თევზებს	თევზ ებს
აყენებენ	აყენ ებ ენ
გაზსადენის	გა ზსადენ ის
ლარს	ლარს
დააღწიოს	და აღწი ოს
თანადამფუძნებელი	თანა დამფუძნ ებელ ი
რსდმპ	რსდმპ
ქორწინებისას	ქორწინ ები ს ას
სპექტრის	სპექტ რ ი ს
ამაყი	ამაყ ი
სამფეროვანი	სამ ფერ ოვან ი
ტარიელის	ტარიელ ის
წარმატებებს	წარმატებ ებს
მცენარედ	მცენარე დ
კობი	კობი
რეკორდი	რეკორდ ი
გაშლილია	გა შლილ ი ა
მოსახლეობას	მოსახლეობ ას
დახრილობის	დახრილ ობის
ფიბი	ფიბ ი
ლესელიძე	ლესელიძ ე
მუხლისაგან	მუხლ ი საგან
ისტორიკოსის	ისტორიკოს ი ს
მხატვრობაში	მხატვრ ობა ში
ჩატარების	ჩატარ ების
ჩავთვალოთ	ჩა ვ თვალ ოთ
წვავს	წვავ ს
მხირდან	მხირ დან
ადმინისტრირების	ადმინისტრ ირ ების
კრების	კრებ ის
მარკიზ	მარკიზ
შოტლანდია	შოტლანდი ა
გადაიწერა	გადა იწერ ა
ქიმია	ქიმი ა
ჯანსაღი	ჯანსაღ ი
ბატონყმური	ბატონ ყ მ ურ ი
პროკურორს	პროკურ ორ ს
ეუთოს	ეუთ ოს
აღმზრდელი	აღ მზრ დე ლ ი
ცვეტაევა	ცვეტა ევ ა
მიღებამდე	მიღებ ამდე
ნადირის	ნადირ ის
თაყვანისცემით	თაყვანის ცე მ ით
სთხოვა	სთხოვ ა
შტო	შტ ო
დაიგეგმა	და ი გეგმ ა
კაპიტალი	კაპიტალ ი
ემთხვეოდა	ემთხვ ე ოდ ა
რწყავს	რწყავ ს
გაიტანა	გა იტან ა
გოლჯის	გოლჯ ის
სცემდა	სცემ და
გოგია	გოგ ი ა
შეიწოვება	შე ი წოვ ება
ძუკუ	ძუკუ
დავწერე	და ვწერ ე
ზაპა	ზაპა
დაირღვა	და ირღვ ა
ყვარლის	ყვარლ ის
ადარებდნენ	ადარ ებ დნენ
საპატამ	საპატ ამ
დაქსაქსული	და ქსაქს ული
საგრაფოს	სა გრაფ ოს
დათვების	დათვ ების
ინდიური	ინდი ური
შუაზე	შუ ა ზე
კარავაჯოს	კარავაჯო ს
სციპიონი	სციპიონ ი
ამისულაშვილი	ა მისულ აშვილი
რეაქტიული	რე აქტი ული
გნეუს	გნეუ ს
გოგუაძე	გოგუ აძე
პოსტები	პოსტ ები
ეშერის	ეშერ ის
დასალევად	და სა ლევ ად
საბუთების	საბუთ ების
დაიწყებდნენ	და იწყ ებ დნენ
აღთქმა	აღთქმ ა
ვიკა	ვიკ ა
ღირსეულად	ღირსეულ ად
უწესო	უ წეს ო
აშინებენ	ა შინ ებ ენ
ვინსენტ	ვინსენტ
ფოკუსი	ფოკ უს ი
მგრძნობიარე	მ გრძნობ ი არე
გაერიდა	გა ერიდ ა
აპარატურა	აპარატურ ა
ხმარობენ	ხმარ ობ ენ
თანატოლებთან	თან ატოლ ებ თან
შეძენილ	შეძენ ილ
გამოცემით	გამოცემ ით
ცხენი	ცხენ ი
მტერთა	მტერ თა
სანჩეს	სანჩეს
დასამარცხებლად	და სა მარცხ ებლად
წიგნები	წიგნ ები
რეინჯერსი	რეინჯერს ი
მიშლის	მი შ ლ ის
აბაშიძე	აბაშიძ ე
კონსტიტუციაში	კონსტიტუცი აში
ნინომ	ნინ ო მ
ამბებთან	ამბ ებ თან
ჩინელმა	ჩინელ მა
ცკ	ცკ
ხმლით	ხმლ ით
ილ	ილ
ჰაგენი	ჰა გენ ი
ორენოვანი	ორ ენ ოვან ი
მარმარილოს	მარმარილ ოს
სტილის	სტილ ის
ძრავებს	ძრავ ებს
პარტიასთან	პარტი ას თან
დეტალებს	დეტალ ებს
დიატომიტის	დია ტომ იტ ის
ღონისძიებებში	ღონისძიებ ებში
ვაზარის	ვაზ არ ის
საზაფხულო	სა ზაფხულ ო
პროცესებს	პროცეს ებს
პტოლემე	პტოლემე
გამოცვლა	გამო ცვლ ა
ანასტასიო	ა ნასტასი ო
სვამენ	სვამ ენ
დააკავშირა	და ა კავშირ ა
სიგრძემ	სიგრძ ემ
შესრულებისათვის	შესრულ ების ა თვის
პენსილვანია	პენს ილვანი ა
ეგვიპტიდან	ეგვიპტ იდან
მტკივნეულ	მტკივნეულ
დაპირისპირებები	დაპირისპირ ებ ები
დროებაში	დრო ებ აში
მანქანებით	მანქან ებით
მიზანში	მიზან ში
მცველის	მცველ ის
ფირფიტაზე	ფირფიტ ა ზე
მოტყუება	მოტყუ ება
მთავარმა	მთავარ მა
მეთაურიც	მეთაურ ი ც
თხზულებებში	თხზულებ ებ ში
იმშობიარა	ი მშობიარ ა
განათების	გან ათ ების
სასიძოს	სა სიძ ოს
ალექსანდრიის	ალექსანდრ ი ის
შეიმუშავეს	შე იმუშავ ეს
ბიჭო	ბიჭ ო
იმუშავა	იმუშავ ა
ქვენიფნეველი	ქვენიფ ნეველ ი
პირისპირ	პირისპირ
აღუთქვეს	აღ უთქვ ეს
ტრაპეზი	ტრაპეზ ი
სივრცეების	სივრცე ების
დაბლობებია	დაბლობ ები ა
მოქალაქემ	მოქალაქე მ
ნიშნებით	ნიშნ ებით
პერონი	პერ ონი
სანაცვლოდ	სა ნაცვლ ოდ
ჩანგის	ჩა ნგ ის
სერვისი	სერვის ი
გერმანულის	გერმან ულ ის
მსხვერპლი	მსხვერპლ ი
წარმოშობის	წარმოშობ ის
განვითარებად	გან ვითარებ ად
კირქვის	კირქვ ის
დამხობილ	დამხობ ილ
ანასტასიოს	ა ნასტასი ოს
დადგებოდა	დადგ ებოდა
ტყვიების	ტყვი ების
ხელოვნებით	ხელოვნებ ით
კავი	კავ ი
ემბლემა	ემბლემ ა
პერსონაჟები	პერსონაჟ ები
მოვლენას	მოვლენ ას
მხარგრძელებთა	მხარგრძელ ებ თა
ბოლქვი	ბოლქვ ი
ბელიზის	ბელიზ ის
კირიონის	კირიონ ის
მუჰამედმა	მუჰა მ ედ მა
მოლდოვის	მოლდოვ ი ს
გამრავლებისას	გამრავლ ები ს ას
ქვირითს	ქვი რით ს
ლუჩანო	ლუჩან ო
ბაქარი	ბაქარ ი
საზოგადოებებს	საზოგადო ებ ებს
გვაგონებენ	გვაგონ ებ ენ
მოესმა	მო ესმ ა
პატარები	პატარ ები
თამაშად	თამაშ ად
იტყვიან	იტყვ იან
ცინების	ცინ ების
კოსოვოს	კოსოვო ს
გათხრები	გათხრ ები
ანგარიშის	ანგარიშ ის
ზემოთხსენებული	ზემოთხსენ ებული
განპირობებულია	გან პირობ ებული ა
ოქტავის	ოქტავი ს
განსხვავებაა	გან სხვავებ ა ა
ნომერს	ნომერ ს
პროპორციულად	პრო პორცი ულ ად
ჩაწერაზე	ჩაწერ ა ზე
ფაქტორია	ფაქტორ ი ა
მონახა	მო ნახ ა
ტრილოგიაში	ტრილოგი აში
პეტროგრადში	პეტროგრად ში
ორფეოსი	ორფეოს ი
ცალკეული	ცალკე ული
დატოვება	დატოვ ება
გააძლიერეს	გა ა ძლიერ ეს
დიალოგები	დიალოგ ები
ერთსაფეხურიანი	ერთ სა ფეხურ იან ი
განმარტოვდა	გან მარტო ვ და
ფინალისტი	ფინალისტ ი
შეყვანილია	შეყვან ილი ა
ფაშისტურმა	ფაშისტ ურ მა
გააკრიტიკეს	გა ა კრიტიკ ეს
დრაკულას	დრაკულ ას
კრებითი	კრებ ით ი
სადროშოს	სა დროშ ოს
ნავთობსადენი	ნავთობ სადენ ი
საურონის	საურონ ის
ხანში	ხან ში
დასაკვირვებლად	და სა კვირვებ ლად
კურდღლებზე	კურდღლ ებ ზე
იპყრობს	იპყრობ ს
სტორთინგმა	სტორთინგ მა
შემოზღუდული	შემოზღუდ ული
მაგნეტო	მაგნეტ ო
მეზობლები	მეზობლ ები
პატიებას	პატი ებ ას
ტელევიზიამ	ტელევიზი ამ
სასტუმროები	სა სტუმრო ებ ი
სერგეი	სერგე ი
ქმედითი	ქმედ ით ი
სტანდარტიზებული	სტანდარტ იზ ებული
გრაფიკაში	გრაფიკ აში
რექტორის	რექტორ ის
სპილოების	სპილო ების
ბანკის	ბანკ ის
შემორჩენილია	შემო რჩენილ ია
ნაზავი	ნა ზავ ი
მეოთხედი	მე ოთხედ ი
პატენტი	პატენტ ი
ორი	ორ ი
მანჩესტერში	მანჩესტერ ში
პერიოდის	პერიოდ ის
სრებრენიცის	სრებრენიც ის
ახალს	ახალ ს
პროვინციად	პროვინცი ად
მატარებლის	მა ტარებ ლ ის
ვიყო	ვ ი ყო
მაყურებელმა	მაყურებ ელ მა
გაუქმებული	გაუქმ ებული
კოლაფსის	კოლაფს ის
ნორმებს	ნორმ ებს
ბერული	ბერ ული
ჯეგერის	ჯეგერ ის
სადოქტორო	სა დოქტორ ო
გათლილი	გა თლილ ი
ნამცხვარი	ნა მ ცხვარ ი
ჯარიდან	ჯარ იდან
რევოლუციური	რევოლუცი ური
შემწეობით	შემწე ობით
ცხოვრებასა	ცხოვრებ ას ა
ქვევიდან	ქვევ იდან
მოგზაურობამ	მოგზაურ ობა მ
სანერწყვე	სა ნერწყვ ე
გარანტირებულია	გარანტირებული ა
გარსების	გარს ების
კელტებს	კელტ ებს
ნებდება	ნებ დ ება
მფლობელები	მფლობელ ები
საჩუქარს	სა ჩუქარ ს
პაველ	პაველ
მოსმენისას	მოსმენ ის ას
ქალიშვილს	ქალიშვილ ს
რაიონსა	რაიონ სა
ციკლოპს	ციკლოპ ს
მემკვიდრეობიდან	მემკვიდრე ობ იდან
ნიშნობა	ნიშნ ობა
სწრაფვას	სწრაფვ ას
ტილოზე	ტილო ზე
ტენორი	ტენ ორი
ადმინისტრაცია	ადმინისტრ აცი ა
კომედია	კომედი ა
ტიტულია	ტიტულ ი ა
მზადყოფნას	მზადყოფნა ს
ძველები	ძველებ ი
წარწერები	წარწერ ები
წოდებით	წოდ ებით
რელიგიისა	რელიგი ი სა
ფიშერი	ფიშერ ი
სამგლოვიარო	სამ გლოვიარ ო
ღვთისმშობელი	ღვთის მშობ ელ ი
კერიკმა	კერიკ მა
სერობა	სერ ობა
კონვექციური	კონვექცი ური
ორსავე	ორ სა ვე
ზემოთაა	ზემოთ ა ა
ყურები	ყურ ები
დაუბრუნებია	და უ ბრუნ ები ა
მეოთხეულ	მეოთხე ულ
კვარტეტი	კვარტეტ ი
გონებრივი	გონ ებრივ ი
ფელიქს	ფე ლ იქს
პარკიდან	პარკ იდან
ედუარდი	ედუარდ ი
კეთილშობილ	კეთილ შობილ
თეთრით	თეთრ ით
პირობითად	პირობ ით ად
იურისდიქციის	იურისდიქცი ი ს
ტყეებით	ტყე ებით
ჩემპიონობის	ჩემპიონ ობის
სხვებისაგან	სხვ ები საგან
საკის	საკ ის
მანქანას	მანქან ას
წიგნისა	წიგნ ი სა
სცადა	სცად ა
აცვია	აცვ ი ა
მოყვარე	მო ყვარ ე
მოსულ	მოსულ
ყურადრებას	ყურადრ ებ ას
მონრეალში	მონრეალ ში
ვერე	ვერე
დოჟის	დოჟ ის
ქარიშხალში	ქარიშხალ ში
გამორთვა	გამო რთვ ა
პერიოდებს	პერიოდ ებს
მეტრიდან	მეტრ იდან
სრუტე	სრუტე
ნანგრევებს	ნანგრევებ ს
მიუღწევია	მ იუ ღწევ ი ა
ქერცლებით	ქერცლ ებით
ჩამწერი	ჩა მწერ ი
ნესტორ	ნესტორ
წამყვანია	წამყვან ი ა
აცლიან	აცლ იან
მიავლინეს	მი ავლინ ეს
საკითხად	საკითხ ად
ფორთოხლის	ფორთოხლ ის
ერაყიდან	ერაყ იდან
ჰასან	ჰასან
სკულპტურებს	სკულპტურ ებს
კანგალის	კანგალ ის
შმალკალდენის	შმალკალდენ ის
გასაოცარი	გა სა ოცარ ი
ხელმოწერილი	ხელმოწერ ილი
გასაკეთებლად	გა სა კეთ ებლად
თურქმანთა	თურქმან თა
აიომი	ა იომ ი
ეპისტოლეთა	ე პისტოლ ეთ ა
მომხრედ	მომხრე დ
მწყობრიდან	მწყობრ იდან
ზემასიური	ზე მასიურ ი
ფრესკა	ფრესკ ა
ჭკვიანი	ჭკვ იან ი
განვითარდნენ	გან ვითარ დნენ
მტკიცედ	მტკიც ედ
ეცათ	ეც ათ
აჰუ	ა ჰუ
ოდინი	ოდინ ი
სამეფომ	სამეფო მ
ქცევის	ქცევ ის
მეშვეობითაც	მეშვე ობით აც
დამხობას	დამხობ ას
გაგება	გაგ ება
გამოცემისთვის	გამოცემ ის თვის
იუდეველთა	იუდევ ელ თ ა
ისტორიულად	ისტორი ულად
მცხეთაში	მცხეთ აში
პიქსელების	პიქსელ ების
წარმატებასთან	წარმატებ ას თან
ფილის	ფილ ის
შემცვლელს	შემცვლ ელ ს
შუმერის	შუმერ ის
ადამიანით	ადამიან ით
მათემატიკური	მა თემატიკ ურ ი
წყალსაცავი	წყალ საცავ ი
მებრძოლ	მებრძოლ
ეთანი	ეთ ან ი
კვანძები	კვანძ ები
ლეგენდარულ	ლეგენდ არულ
დაპატიმრებულ	და პატიმრ ებულ
დოკუმენტებს	დოკუმენ ტ ებს
ზედაპირზე	ზედაპირ ზე
კოლონიზაციის	კოლონიზ აც ი ის
მემკვიდრეები	მემკვიდრე ები
პერსპექტიული	პერ სპექტ ი ულ ი
მშობელი	მშობელ ი
ბატონობდა	ბატონობ და
სახელობისაა	სახელ ობის აა
ძველების	ძველებ ის
მაქსიმ	მაქსიმ
წარმომადგენელთა	წარმო მადგენ ელ თა
თეოდორეს	თეოდორ ეს
სწორხაზოვანი	სწორ ხაზ ოვან ი
გამოავლინეს	გამო ავლინ ეს
არქიტექტორად	არქიტექტორ ად
მოსკოველი	მოსკოვ ელ ი
თბილისს	თბილის ს
კომიკური	კომიკურ ი
ოქტავიანესთან	ოქტავიან ე სთან
ლექსში	ლექს ში
მაჰმადიან	მაჰმადიან
მნიშვნელოვნად	მნიშვნელ ოვნად
მესხეთი	მესხ ეთ ი
გეგმისა	გეგმ ი სა
სურნელება	სურნელ ება
სამოძრაო	სა მოძრა ო
კირიბატის	კირიბატ ის
ანადგურებენ	ანადგურ ებ ენ
მენეჯმენტი	მენეჯმენტ ი
ლაზიკაში	ლაზიკ აში
ახალგორიდან	ახალგორ იდან
ადამსმა	ადამს მა
სტივენსის	სტივენ ს ის
სუდანის	სუდან ის
ფილმებშიც	ფილმ ებში ც
გაივლიდა	გა ივლ ი და
გამოჩენილი	გამოჩენილ ი
მოჭედილი	მო ჭედ ილი
გაერთიანებულმა	გაერთიან ებ ულ მა
შესწავლამ	შესწავლ ამ
გონება	გონებ ა
ეთანხმებიან	ეთანხმ ებიან
ხმელეთიდან	ხმელეთ იდან
ჰიუ	ჰიუ
ნაკრძალს	ნაკრძალ ს
ხელი	ხელ ი
ბიჭვინთის	ბიჭვინთ ის
თარეში	თარეშ ი
უცნობ	უცნობ
უფიქრია	უ ფიქრ ი ა
ყოფენ	ყოფ ენ
ყრილობის	ყრილობ ის
მწერლებმა	მწერლ ებ მა
სინდისი	სინდის ი
მთარგმნელობითი	მთარგმნელ ობით ი
ქერქი	ქერქ ი
განას	გან ას
ხიდია	ხიდ ი ა
ყიზილბაშებმა	ყიზილბაშ ებ მა
გუნდია	გუნდ ი ა
გამოსასყიდად	გამო სასყიდ ად
სანდოვალი	ს ა ნდოვალ ი
გაღიზიანების	გა ღიზიანებ ის
სახე	სახე
ბავშვებმა	ბავშვ ებ მა
სცენას	სცენ ას
ჰენდელი	ჰენდელი
კოქსის	კოქს ის
სამხრეთ	სამხრეთ
აღწერილ	აღწერილ
ქვეყნიდან	ქვეყნ იდან
თეზისები	თეზის ები
კოლმეურნეობის	კოლმეურნე ობის
ნაყიდი	ნა ყიდ ი
აზერბაიჯანულ	აზერბაიჯან ულ
ენისეის	ენ ის ე ის
საქსონელი	საქსონ ელ ი
აფეთქების	აფეთქ ების
სიონი	სიონ ი
მიესალმა	მიესალმ ა
გაზიარების	გა ზიარ ების
მოლა	მო ლ ა
ჩონჩხის	ჩონჩხ ის
საუბარია	საუბარ ი ა
ახალგაზრდობას	ახალგაზრდ ობ ას
პრობლემების	პრობლემ ების
ლოგიკაში	ლოგიკ აში
საუნჯე	საუნჯე
ზომაც	ზომ აც
არასდროს	არ ას დრო ს
სათაყვანებელი	სა თაყვან ებელ ი
დალასის	დალას ის
დამთავრებულა	და მთავრ ებულ ა
ეჭვობდა	ეჭვ ობ და
რუნებს	რუნ ებს
რამდენად	რამდენ ად
ამაში	ამ აში
იცავენ	იცავ ენ
საწყისი	საწყის ი
ჩაწერა	ჩაწერ ა
ლიდერობით	ლიდერ ობით
მარგარიტას	მარგარიტ ას
მასტერსზე	მასტერს ზე
მოახლე	მო ახლ ე
მყინვარია	მყინვარ ი ა
სრულ	სრულ
გათამაშებული	გათამაშ ებული
მიდგომამ	მიდგომ ამ
შუქურა	შუქ ურ ა
ამოიცნობს	ა მო იცნობ ს
ათლეტური	ათლეტ ური
დასდო	და სდ ო
წარმოებისას	წარმოებ ის ას
კაკო	კაკ ო
ნეილონის	ნ ე ილ ონის
მწვანეს	მწვანე ს
ქრისტეფორეს	ქრისტეფორ ეს
სტილზე	სტილ ზე
ბრაუზერს	ბრაუზ ერს
სარდლის	სარდლ ის
სულებისგან	სულ ების გან
ჟერარ	ჟერ არ
სარგებლობა	სარგებლ ობა
ვნება	ვნებ ა
განსამტკიცებლად	გან სა მტკიც ებლად
გამა	გამ ა
აღებისა	აღ ების ა
იმის	იმ ის
ელფერი	ელფერ ი
განიკურნა	განი კურნ ა
რუკაზე	რუკ ა ზე
ღონისძიებას	ღონისძიებ ას
ორთაბრძოლა	ორთა ბრძოლ ა
დედამიწის	დედამიწ ი ს
ჰქვია	ჰქვი ა
თერთმეტმეტრიანების	თერთმეტ მეტრიან ების
ფასადი	ფასად ი
სიმაგრეს	სიმაგრე ს
დაშვება	დაშვებ ა
ფერმას	ფერმ ას
წვეთი	წვეთ ი
დაეხია	და ე ხ ია
ყინულით	ყინულ ით
მორალის	მორალ ის
ანასტასიას	ა ნასტასი ას
ბატონიშვილი	ბატონ იშვილი
არმიიდან	არმი იდან
ქვების	ქვ ების
ლესოთოში	ლესოთო ში
პროდიუსერია	პროდიუსერ ი ა
სტრატეგია	სტრატ ეგ ი ა
კავშირების	კავშირ ების
საბიუჯეტო	სა ბიუჯეტ ო
ნახშირბადის	ნახშირ ბად ის
ორთა	ორ თა
მეტროს	მეტრ ოს
დაეფარა	და ე ფარ ა
თვითმკვლელობამდე	თვითმკვლელობ ამდე
სადგურში	სადგურ ში
ჰქვიათ	ჰქვი ა თ
მწკრივი	მწკრივ ი
შეთქმულები	შეთქმულ ები
მეორეა	მეორე ა
აბასთუმნის	აბასთუმნ ის
ფსკერი	ფსკერ ი
ხელნაწერებს	ხელ ნაწერ ებს
ლაურა	ლაურ ა
სპორტს	სპორტ ს
სმოლენსკის	სმოლენსკ ის
მატებასთან	მატ ება სთან
ჯვარცმის	ჯვარ ცმ ის
კილიმანჯარო	კ ილიმან ჯარ ო
სხივები	სხივ ები
წინამძღოლი	წინა მძღოლ ი
ქვეყნებისათვის	ქვეყნ ების ა თვის
მარკუს	მარკ უს
სისხლისსამართლებრივი	სისხლის სამართლებრივ ი
მონასტრების	მონასტრ ების
ძუ	ძუ
მიმდინარეობაში	მი მდინარეობ აშ ი
ენერგიაზე	ენერგი ა ზე
დუეტმა	დუეტ მა
რიცხვი	რიცხვ ი
ტრაქტატს	ტრაქტატ ს
მონაწილეობის	მონაწილე ობის
ფირალები	ფირ ალ ები
გავრცელდნენ	გავრცელ დნენ
განკარგულება	გან კარ გულ ებ ა
გუნდისგან	გუნდ ის გან
გაერთიანებულ	გაერთიან ებ ულ
დაოჯახდა	და ოჯახ და
კაკაბაძის	კაკაბ ა ძის
მიუსაჯა	მ იუ საჯ ა
საგრაფოები	სა გრაფო ები
ითარგმნოს	ითარგმნ ოს
შამქორის	შამქორ ის
რაინდთა	რაინდ თა
კოდექსები	კოდექს ები
რწმენას	რწმენ ას
სჭარბობს	სჭარბ ობ ს
დაამონტაჟა	და ა მონტაჟ ა
ქსელებს	ქსელ ებს
ჩოგბურთელი	ჩოგბურთ ელ ი
წევრით	წევრ ით
შვილთა	შვილ თა
ესპანურის	ესპანურ ის
ლითონისა	ლითონ ი სა
ქიქოძე	ქიქოძ ე
მეომრით	მეომრ ით
დაკითხვა	და კითხვ ა
ლიკვიდირებულ	ლიკვიდირებულ
რომლებშიც	რომლებ ში ც
შვედები	შვედ ები
იავური	იავ ური
დაემსგავსა	და ე მსგავს ა
სარკმელს	სარკ მ ელ ს
მიესალმებოდა	მიესალმ ებოდა
მიუძღოდა	მი უძღ ოდ ა
თანამიმდევრული	თანა მიმდ ევრ ული
მაისურს	მაისურ ს
ნომრებს	ნომრ ებს
ერაყელი	ერაყ ელ ი
კეჩუას	კეჩუ ას
განასახიერებდა	განასახიერ ებ და
მარილის	მარილ ის
ოქრომჭედლობის	ოქრო მჭედლობ ი ს
თევზს	თევზ ს
დროსვე	დრო ს ვე
შენთვის	შენ თვის
დანარჩენები	და ნარჩენ ები
შესაჩერებლად	შესა ჩერ ებლად
დოჰერტიმ	დოჰერტ იმ
მოჰკვეთეს	მო ჰკვეთ ეს
წაყენებული	წა ყენებულ ი
ჯდება	ჯ დ ება
ჰუსერლი	ჰუსერლი
ყურანში	ყურან ში
ხარჭა	ხარჭ ა
კონქის	კონქ ის
გამოსახულნი	გამო სახულ ნ ი
ჯანმრთელ	ჯანმრთელ
ხორციელდება	ხორციელ დ ება
მოელიან	მო ელ იან
ორმაგ	ორმაგ
შტაბები	შტაბ ები
შეჯვარებით	შე ჯვარ ებით
უბანი	უბან ი
მიხეილი	მიხეილ ი
გამომუშავება	გამომუშავ ება
ნაწილის	ნაწილ ის
იოსებმა	იოსებ მა
ქსოვილები	ქსოვილ ები
გარშემოსავლელის	გარ შემო სავლელ ის
მისკენ	მ ის კენ
მოჭრილ	მო ჭრილ
გარსია	გარს ი ა
ეპისკოპოსობა	ეპისკოპო ს ობა
შეგვხვდა	შე გვხვდ ა
ცაგარელი	ცაგარელ ი
შიოს	ში ოს
დათრგუნვა	და თრგუნ ვა
კერუაკი	კერუაკი
ბარიუმის	ბარ ი უმ ის
რუანდას	რუანდ ას
სპეციალობის	სპეციალ ობის
შეფასებას	შეფასებ ას
აჩერებენ	აჩერ ებ ენ
ფაშის	ფაშ ის
მისიით	მისი ით
ოხერო	ოხერ ო
კაშხლის	კაშხლ ის
ენაა	ენა ა
თორინ	თორინ
მიწის	მიწ ის
მტრები	მტრ ები
ჰეროდეს	ჰეროდ ეს
გამოფენაში	გამოფენ აში
ინსტინქტი	ინსტინქტ ი
დაბადებისთანავე	დაბადებ ის თანავე
პარალელურია	პარალელ ური ა
ჯოხით	ჯოხ ით
კონა	კონ ა
ობობას	ობ ობა ს
იგულისხმებოდეს	ი გულისხმ ებ ოდეს
უბეში	უბე ში
ავღანეთში	ავღანეთ ში
ფესტივალების	ფესტივალ ების
ვარშავის	ვარშავ ის
დისკთან	დისკ თან
წლებია	წლ ები ა
ბალადა	ბალად ა
თავდასხმის	თავდა სხ მ ის
მიართვა	მი ართვ ა
სათავეებთან	სათავე ებ თან
ქარხნების	ქარხნ ების
მომატებული	მო მატ ებული
სამეფოთა	სამეფო თა
იხილოს	იხილ ოს
შეჯიბრს	შეჯი ბრ ს
ლეიბლის	ლეიბლ ის
მონღოლი	მონღოლ ი
თემურმა	თემურ მა
აღწევდეს	აღწევ დეს
