იტალიასთან	იტალი ასთან
ნუმენორის	ნუმენო რის
ხელფასების	ხელფას ების
სტუმრების	სტუმრ ების
ჩასმული	ჩასმ ული
ფანტაზია	ფანტაზი ა
კლდეში	კლდე ში
კომბინაციები	კომბინ აციები
იღუპება	იღუპ ება
აქამდე	აქ ამდე
მონათმფლობელობის	მონათ მფლობელობის
ნიადაგებია	ნიადაგ ებია
მიახლოებული	მიახლო ებული
ბავშვებსა	ბავშვ ებსა
მონადირეებს	მონადირე ებს
ვარსკვლავებთან	ვარსკვლავ ებთან
ემბრიონის	ემბრი ონის
შეერთებულია	შეერთ ებულია
სკოლისათვის	სკოლ ისათვის
ტურისტული	ტურისტ ული
ჯავახეთის	ჯავახეთ ის
სალვადორ	სა ლვადორ
ლამამ	ლამ ამ
წლისთავს	წლ ისთავს
ჩაყარეს	ჩა ყარეს
გადასცემენ	გადასცემ ენ
სახასო	სახ ასო
ბუბა	ბუ ბა
კონფლიქტებს	კონფლიქტ ებს
სახარება	სახარ ება
მონტაჟი	მონტაჟ ი
შეუვალობის	შეუ ვალობის
არსების	არსებ ის
მოციქულების	მოციქულ ების
უილიამ	უილიამ
რაიტის	რაი ტის
დაპირისპირებების	დაპირისპირ ებების
საშტატო	სა შტატ ო
მწერალია	მწერალ ია
თსუ	თს უ
პალეოლითური	პალეოლით ური
დედაქალაქს	დედაქალაქ ს
მთავარანგელოზის	მთავარ ანგელოზის
სამკერდე	სა მკერდე
ჰანიბალ	ჰანიბალ
რაოდენობაში	რაოდენობა ში
ვაკეა	ვაკე ა
ანიმაციის	ანიმაცი ის
მცირერიცხოვანია	მცირერიცხ ოვანია
ჩამოშორება	ჩამოშორ ება
კავკასიისა	კავკასი ისა
მთაა	მთა ა
რაჭველები	რაჭ ველები
ზღვად	ზღვ ად
კანოეს	კანოე ს
იძიებენ	იძი ებენ
მაღაზიები	მაღაზი ები
დომ	დო მ
ეხურა	ეხ ურა
რწმენას	რწმენ ას
მიცელიუმი	მი ცელიუმი
შაშხანა	შ აშხანა
დემონსტრაციას	დემონსტრ აციას
გაძლიერებამ	გაძლიერ ებამ
ლიპის	ლიპ ის
შემოიღო	შემოი ღო
ორმოსამარხები	ორმო სამარხ ები
მოუკლავს	მოუ კლავს
იკვებებიან	იკვებ ებიან
შეცდომები	შეცდომ ები
აპარატის	აპარა ტის
ინაცვლებს	ინაცვლ ებს
გაყოლოდა	გაყოლ ოდა
კულტის	კულტ ის
უბედურება	უბედურებ ა
იტრიუმი	იტრიუმ ი
იწერდა	იწერ და
ოფიციალური	ოფიციალურ ი
ფილტრაციის	ფილტრ აციის
მაგარი	მაგარ ი
დაკების	დაკ ების
კუნძულოვანი	კუნძულ ოვანი
სარჩული	სარჩ ული
ავიდნენ	ა ვიდნენ
ნიღბების	ნიღბ ების
გვარდიის	გვარდი ის
მეიერსი	მე იერსი
დანახვისას	დანახვ ისას
ინდურ	ინდ ურ
ნელა	ნელ ა
აძლევენ	აძლევ ენ
მოთამაშეების	მოთამაშ ეების
პროფესორ	პროფესო რ
უყურადღებობის	უ ყურადღებ ობის
სიტყვებით	სიტყვ ებით
ნეპალის	ნეპალ ის
მოზარდობის	მოზარდ ობის
განხორციელებაში	განხორციელ ებაში
დაიფიცა	დაი ფიცა
უმრავლესობით	უმრავლესობ ით
შებოლილი	შე ბოლ ილი
კომიტეტს	კომიტეტ ს
მოლაპარაკებას	მოლაპარაკ ებას
სასულე	სა სულ ე
ტიბეტი	ტიბეტ ი
ბლოგი	ბლოგ ი
მედია	მედი ა
დანახვა	დანახვ ა
კათოლიკეებს	კათოლიკე ებს
დაუწყეს	დაუწყ ეს
მცდელობები	მცდელობ ები
გმირს	გმირ ს
ერთდროული	ერთდრო ული
კურსებს	კურს ებს
სამუშაო	სამუშაო
აზოტოვან	აზოტ ოვან
მოამზადეს	მო ამზად ეს
ალექსანდრიელის	ალექსანდრ იელის
ასასვლელად	ასასვლელ ად
ფრანგულენოვანი	ფრანგულ ენოვანი
კანტონის	კანტონ ის
რედაქტირებული	რედაქტ ირებული
უკმარისობას	უკმარის ობას
გდანსკის	გ დან სკის
შემოღების	შემოღებ ის
დაქვემდებარებაშია	დაქვემდება რებაშია
შედეგებისა	შედეგ ებისა
აგდებენ	აგდებ ენ
აღმაშენებელმა	აღმაშენ ებელმა
ადგილობრივი	ადგილობრივ ი
ბობის	ბ ობის
მთიელები	მთი ელები
ლოდების	ლოდ ების
უმეტეს	უმეტეს
ლითოლოგიური	ლით ოლოგიური
სამხრეთით	სამხრეთ ით
ქვევრია	ქვ ევრია
საზოგადოებისადმი	საზოგადო ებისადმი
აღენიშნება	აღენიშნება
შემოიფარგლა	შემოიფარგლ ა
კითხულობენ	კითხულ ობენ
სტეფენ	სტე ფენ
კრუნჩხვები	კრუნჩხვ ები
მშვიდობა	მშვიდობ ა
ასოცირებულ	ასოცირ ებულ
სერიებს	სერი ებს
ისეთივე	ისეთივე
პრემია	პრემი ა
ამქვეყნად	ამქვეყნ ად
მაგნეტიტის	მაგნე ტიტ ის
ოქტავიანეს	ოქტავიან ეს
ჩემპიონებს	ჩემპიონ ებს
სახეობას	სახეობ ას
მკვეთრი	მკვეთ რი
კოდების	კოდ ების
უზრუნველსაყოფად	უზრუნველ საყოფად
ამინდით	ამინდ ით
წყალგამყოფზე	წყალგამყოფ ზე
მონები	მონ ები
ადგილისა	ადგილ ისა
გადასაღებ	გადასაღებ
წყალსაცავი	წყალსაცავ ი
ჩაბი	ჩა ბი
გასაძლიერებლად	გასა ძლიერებლად
ენებისა	ენ ებისა
ნამუშევარში	ნამუშევ არში
ბარიდან	ბარ იდან
უკანასკნელისაგან	უკანასკნელ ისაგან
ფორმისაა	ფორმ ისაა
გამომწვევ	გამომ წვევ
ბაგრატუნების	ბაგრატ უნების
გამოიტანა	გამოი ტანა
მლ	მლ
ჩაპლინი	ჩაპლი ნი
რეზულტატის	რეზ ულტატის
პრიზი	პრიზ ი
წყალობის	წყალობ ის
საინტერესოა	სა ინტერეს ოა
ერნესტო	ერნეს ტო
ნების	ნებ ის
გამოსცემენ	გამოსცემ ენ
კაბინა	კაბინ ა
სპარსეთის	სპარს ეთის
მიირთმევენ	მიირთმე ვენ
ბრძანა	ბრძანა
მარჯვენა	მარჯ ვენა
გუნდს	გუნდ ს
არქიტექტურის	არქიტექტურ ის
ვარაუდის	ვარაუდ ის
ისეთმა	ისეთ მა
ლევ	ლევ
ოცნებამ	ოცნებ ამ
მუშას	მუშ ას
თარგმანით	თარგმან ით
ადიშის	ად იშის
ტოტენჰემმა	ტოტენჰემ მა
ვალენტინა	ვალენტინ ა
წარმოიქმნენ	წარმოიქმნ ენ
ეხება	ეხ ება
დასავლეთს	დასავლეთ ს
რიტუალურ	რიტუალ ურ
ფრანკების	ფრანკ ების
ყვინთავენ	ყვ ინთავენ
გაძლო	გა ძლო
გლუვ	გლუვ
რაკეტა	რაკეტ ა
ერაყიდან	ერაყ იდან
სარუმანის	სა რუმანის
მიანიშნებს	მიანიშნ ებს
რეჟისორის	რეჟისო რის
რომანის	რომან ის
დემოკრატია	დემოკრა ტია
კატასტროფული	კატასტროფ ული
მოხარშული	მო ხარშ ული
მოგვითხრობს	მოგვითხრო ბს
ჰიდროქსიდის	ჰიდრ ოქსიდის
მხარეებში	მხარე ებში
შეიზღუდა	შეი ზღუდა
ოსირისი	ოსირის ი
თეორიას	თეორი ას
კონკისტადორები	კონკისტ ადორები
ქვეკლასი	ქვე კლას ი
ფერნანდო	ფერნანდ ო
პაპი	პაპ ი
ვამბობთ	ვ ამბ ობთ
შენაერთი	შენაერთ ი
წვერის	წვერ ის
ბანკები	ბანკ ები
ცხენით	ცხენ ით
სპეციფიურ	სპეციფ იურ
პოზიტიურად	პოზიტ იურად
ნასაკირალის	ნასა კირალის
უვლიდა	უვლი და
მგზავრობისას	მგზავრ ობისას
იძლეოდა	ი ძლეოდა
ელემენტზე	ელემენტ ზე
მოუწოდა	მოუწოდ ა
სჭირდება	სჭირ დება
კოდექსს	კოდექს ს
წესისა	წეს ისა
ხის	ხ ის
ვალუტას	ვალუ ტას
მარშრუტები	მარშრუტ ები
არგენტინული	არგენტინ ული
სტინგმა	სტინგ მა
გეომეტრიულ	გეომეტრ იულ
მასწავლებლობდა	მასწავლებლ ობდა
ს	ს
სტილს	სტილ ს
ლუვრი	ლუვრ ი
ჩინგიზ	ჩინ გიზ
აზერბაიჯანში	აზერბაიჯან ში
ბედი	ბედ ი
პოლოკი	პოლოკ ი
ობიექტური	ობიექტ ური
პი	პი
მოუსწრო	მოუ სწრო
ყვირის	ყვირი ს
მზად	მზად
საზღვრავს	საზღვრ ავს
მზადების	მზად ების
ფილოგენეზური	ფილ ოგენეზური
განვითარდნენ	განვითარ დნენ
დაქვეითებით	დაქვეითე ბით
ჩუს	ჩუ ს
ტყეებისა	ტყე ებისა
მკვდართა	მკვდარ თა
სამართალში	სამართ ალში
დაწინაურება	დაწინაურ ება
მაქცია	მა ქცია
უზენაესობის	უზენაეს ობის
ძლივს	ძლივ ს
შემორჩა	შემორჩ ა
დომიციანეს	დო მიციანეს
ერთს	ერთ ს
დაკავშირებას	დაკავშირებ ას
კლასი	კლას ი
ქარის	ქარ ის
ბალეტის	ბალეტ ის
ბრინჯი	ბრინჯ ი
საერისთავოში	სა ერისთავ ოში
ენეასი	ენეას ი
ენათესავება	ე ნათესა ვება
დარეჯანი	დარეჯან ი
თომასმა	თომას მა
გაიგონეს	გაიგ ონეს
დაიწუნა	დაიწ უნა
ხატს	ხატ ს
მაწყვერელი	მაწყ ვერ ელი
ძველეგვიპტური	ძველ ეგვიპტური
იანის	იან ის
ესწავლებინათ	ესწავლ ებინათ
პასუხისმგებლობას	პასუხისმგ ებლობას
ინტერპრეტაციით	ინტერპრეტ აციით
აიღებდნენ	აიღ ებდნენ
აკითხავენ	აკითხ ავენ
პირამიდული	პირამიდ ული
ნაწარმოებებს	ნაწარმოებ ებს
მოვალეობად	მოვალე ობად
უპირისპირდებოდნენ	უპირისპირდებ ოდნენ
ხმარებას	ხმარებ ას
მსახურობის	მსახურ ობის
მუზეუმებში	მუზეუმ ებში
ეპიდემიას	ეპიდემი ას
ბორჯომისა	ბორჯო მისა
ბრიუსის	ბრიუს ის
მუჰაფაზა	მუჰაფაზ ა
ნავიგაცია	ნავიგაცი ა
ჩამოვარდნის	ჩამოვარდ ნის
მნიშვნელოვან	მნიშვნელოვან
მსახურთუხუცესი	მსახურთ უხუცეს ი
განპირობებული	გან პირობ ებული
მოლაპარაკებებზე	მოლაპარაკ ებებზე
მემკვიდრეს	მემკვიდრე ს
საენათმეცნიერო	სა ენათმეცნი ერო
დატვირთული	დატვირთ ული
შუამთის	შუა მთის
დაიმორჩილა	დაიმორჩილ ა
სარგებლობდნენ	სარგებლ ობდნენ
შთანთქმა	შთანთქ მა
ამასთან	ამ ასთან
ყარაბაღში	ყარაბაღ ში
ვარიანტია	ვარიანტ ია
სიმღერათა	სიმღერ ათა
რეგრესი	რეგრეს ი
შეადგენს	შეადგენ ს
ყვებოდა	ყვ ებოდა
გასვლაში	გასვლ აში
წელზე	წელ ზე
ბალტიური	ბალტი ური
კილომეტრითაა	კილომეტრ ითაა
ქაია	ქა ია
შემდგომი	შემდგომ ი
უღირსი	უ ღირს ი
სჭირდებოდათ	სჭირ დებოდათ
ელექტრონული	ელექტრონ ული
გადატანას	გადატან ას
სახვითი	სახ ვითი
შერჩევას	შერჩევ ას
ჩინგის	ჩინ გის
საჭმელს	საჭმ ელს
ბავარიაში	ბავარი აში
გამოყენებაც	გამოყენებ აც
ისნი	ის ნი
კულტურის	კულტურ ის
გამოსახვის	გამოსახ ვის
მებრძოლები	მებრძოლ ები
მომთაბარეთა	მომთაბა რეთა
მუსიკის	მუსიკ ის
შეუძლებელი	შეუძლ ებელი
ჩვენში	ჩვენ ში
ბრძოლამდე	ბრძოლ ამდე
ლონდონში	ლონდო ნში
შეეგება	შე ეგება
წინააღმდეგი	წინააღმდეგ ი
კორეას	კორე ას
ყვირილი	ყვირი ლი
შეუიარაღებელი	შეუ იარაღ ებელი
კონცერტიდან	კონცერტ იდან
რომელმაც	რომელ მაც
მამრთან	მამრ თან
ფილოსოფიისა	ფილოსოფ იისა
წვის	წვ ის
ოზონის	ოზ ონის
ფულადი	ფულ ადი
აგებიდან	აგ ებიდან
ცენტრალურმა	ცენტრ ალურმა
ქართველმა	ქართველ მა
გამოექვეყნებინა	გამოე ქვეყნ ებინა
გაწვეულ	გა წვეულ
უფლისციხის	უფლის ციხის
ვედრება	ვედრ ება
გამოსახულებით	გამოსახულებ ით
თანამშრომლობას	თანამშრომლ ობას
ჯადოქარს	ჯადოქარ ს
სეგმენტში	ს ეგმენტ ში
ვეფხვი	ვეფხვ ი
დააბრუნა	დააბრუნ ა
სამ	სა მ
იუდეა	იუდე ა
რეტის	რე ტის
ფორუმებს	ფორუმ ებს
მოგზაურები	მოგზაურ ები
სიტყვაში	სიტყვ აში
კონფერენციაზე	კონფერენ ციაზე
თანადგომა	თანადგომ ა
სამარშრუტო	სა მარშრუტ ო
ქება	ქ ება
გაანათხოვრა	გაანათხოვრ ა
მისიას	მისი ას
წარმოსახული	წარმოსახ ული
ბელას	ბელ ას
სიცილიის	სიცილ იის
ხაზინას	ხაზინ ას
არაბთა	არაბ თა
ხმარობს	ხმარ ობს
მდაბიო	მდა ბიო
გადაცემებს	გადაცემ ებს
ამისდა	ამ ისდა
დახურვა	დახურ ვა
სასახლეთა	სასახლე თა
სოკოვანი	სოკო ვანი
მართვაში	მართვ აში
შეჭამა	შე ჭამ ა
წესის	წეს ის
დედაჩემი	დედა ჩემი
იტალიელმა	იტალი ელმა
სარკინიგზო	სა რკინიგზ ო
უცხოს	უცხო ს
მერიის	მერი ის
ნაკრძალები	ნაკრძალ ები
მამლები	მამ ლები
სამგანზომილებიანი	სამ განზომილებ იანი
პრომეთე	პრომეთ ე
ნახტომი	ნახტომ ი
ამბობდნენ	ამბ ობდნენ
დარტყმა	დარტყ მა
სადგომები	სადგომ ები
წვრილ	წვრილ
კელტური	კელ ტური
ძალებისგან	ძალ ებისგან
წარჩინებულთა	წარჩინებ ულთა
დევნილ	დევნილ
გამოჭრილი	გამოჭრილ ი
შადრევნები	შადრევ ნები
რომანში	რომან ში
სტუდენტი	სტუდენტ ი
გენური	გენ ური
სერიალით	სერიალ ით
დასაყრდენს	და საყრდენ ს
ელისო	ელი ს ო
საფრანგეთს	საფრანგე თს
ჯგუფით	ჯგუფ ით
ბელიზში	ბელიზ ში
სახსარი	სახ სარი
სემმა	სემ მა
გამოყენებას	გამოყენებ ას
მონუმენტთა	მონუმენ ტთა
სუონის	სუ ონის
გარსშემორტყმული	გარს შემორტყმულ ი
დროინდელ	დროინდ ელ
ეფექტებს	ეფექტ ებს
გრეისი	გრეის ი
იმედოვნებენ	იმედოვნებ ენ
კორპუსების	კორპუს ების
მოუწევს	მოუწევ ს
მასალებს	მასალ ებს
ოთხასი	ოთხ ასი
შეკეთება	შეკეთ ება
შეუწირავს	შეუ წირავს
არღუნის	არღუნ ის
კურსდამთავრებულები	კურს დამთავრებულ ები
რომისთვის	რომ ისთვის
მოთავსება	მოთავს ება
გაძლიერების	გაძლიერ ების
სტრიქონი	სტრიქო ნი
აწამებდნენ	აწამ ებდნენ
ქაქუცა	ქაქუც ა
ალბომთან	ალბომ თან
არაგონელის	არაგონ ელის
სისადავე	ს ისადავე
საგულისხმო	სა გულისხმ ო
უფალთან	უფალ თან
გაფორმებით	გაფორმ ებით
კამპანიებში	კამპანი ებში
ანტისხეულების	ანტი სხეულ ების
ქერქისა	ქერქ ისა
ცერემონიულ	ცერემონი ულ
თმას	თმ ას
კომენტარს	კომენტა რს
საქმეები	საქმე ები
შევნიშნოთ	შევ ნიშნოთ
შემოიყვანა	შემო იყვანა
მიღებისთვის	მიღებ ისთვის
სკოლასა	სკოლ ასა
ჩავარდნა	ჩავარდ ნა
ირჩევიან	ირჩევ იან
აიდაჰოს	აიდა ჰოს
გენიალური	გენი ალური
სიშორე	სიშორ ე
ლეჰის	ლე ჰის
შეარქვეს	შეა რქვეს
ჰყოფს	ჰყოფ ს
ზღუდე	ზღუდ ე
ზურგი	ზურგ ი
პირადად	პირად ად
სატელეკომუნიკაციო	სატელე კომუნიკაცი ო
ჰუსერლი	ჰუსერ ლი
მონაწილეობენ	მონაწილე ობენ
ბოსტნეულისა	ბოსტნეული სა
ტონგის	ტონგ ის
გალბას	გალ ბას
ლანძღავენ	ლა ნძღავენ
მმართველობისა	მმართველობ ისა
ბარნი	ბარ ნი
ნერონი	ნერონ ი
ვარსკვლავების	ვარსკვლავ ების
დისკოგრაფია	დისკ ოგრაფია
ილირიული	ილირი ული
სამეკლესიიანი	სამ ეკლესი იანი
სითბო	სითბ ო
ფართედაა	ფართ ედაა
თავსართს	თავსართ ს
ნიკარაგუელები	ნიკარაგუ ელები
გამოეყვანა	გამო ეყვანა
სექტორის	სექტო რის
ჰექტარზე	ჰექტარ ზე
ნახშირწყლების	ნახშირ წყლების
მიქცეული	მი ქცეულ ი
ზეთი	ზეთ ი
ექსპედიციას	ექსპედიცი ას
მკვლევარმა	მკვლევარ მა
ბაქოს	ბაქ ოს
მწვერვალზე	მწვერვა ლზე
საიტს	საიტ ს
ორგანული	ორგან ული
ცაზე	ც აზე
არაორგანიზებული	არაორგან იზებული
ქვეჯგუფის	ქვეჯგუფ ის
დანიელ	დანიელ
განიცადოს	განიც ადოს
ჰიტლერმა	ჰიტლე რმა
დააქორწინეს	დააქორწინ ეს
კურჩატოვის	კურჩატოვ ის
გაჩერებულა	გაჩერ ებულა
კიტა	კი ტა
მევიოლინე	მე ვიოლინ ე
სამეფოც	სამეფო ც
ადაპტაციას	ადაპტ აციას
შენობებსა	შენობ ებსა
საწყისები	საწყის ები
აფინანსებს	ა ფინანს ებს
თავისებურებანი	თავისებურებ ანი
ადამიანებით	ადამიან ებით
კოქსი	კო ქსი
ქვიშაქვებითა	ქვიშაქვ ებითა
რიგითი	რიგ ითი
ხორცი	ხორც ი
ამოშენებული	ა მოშენ ებული
სუბიექტური	სუბიექტ ური
წინამორბედი	წინამორბე დი
იმიგრანტი	ი მიგრან ტი
პუშტუნები	პუშტუნ ები
დინებაზე	დინებ აზე
დღესდღეისობით	დღეს დღეისობით
გამონაბოლქვის	გამონა ბოლქვის
მექსიკელი	მექსიკ ელი
მოღვაწის	მოღვაწ ის
ბერინგის	ბერი ნგის
სახელიდან	სახელ იდან
გადარჩენილებს	გადარჩენ ილებს
ნეირონული	ნეირონ ული
გაეშურნენ	გაეშურ ნენ
ჩაპლინის	ჩაპლი ნის
განრისხებულმა	განრისხ ებულმა
მიცვალებულთა	მიცვალ ებულთა
საათზე	საათ ზე
ბოლნისის	ბოლნის ის
მთასა	მთა სა
ოტავის	ოტავ ის
აყალიბებს	აყალიბ ებს
კპ	კპ
თხზულებების	თხზულებ ების
სცენარისთვის	სცენარ ისთვის
უშუალოდ	უშუალო დ
პოპულარულები	პოპულარულ ები
დამხობის	დამხობ ის
ჰასიდური	ჰა სიდური
წარმოადგენდა	წარმოადგენ და
შამანს	შამან ს
შორი	შორ ი
ტრეილერში	ტრეილერ ში
დაბადებულა	დაბადებულ ა
მოკვდებოდა	მოკვ დებოდა
მატჩები	მატჩ ები
საცოლეს	საცოლ ეს
სურდათ	სურ დათ
ხონის	ხ ონის
სანთელი	სანთ ელი
გაუდი	გაუ დი
ადგას	ადგა ს
პროფესორის	პროფესო რის
შეკუმშვა	შეკუმშვ ა
ბედის	ბედ ის
ლეგიონები	ლეგიონ ები
ბოლესლავის	ბოლესლავ ის
თბილისზე	თბილის ზე
სოფელი	სოფელ ი
ვისაც	ვის აც
წერტილის	წერტილ ის
წილ	წილ
მუნიციპალიტეტს	მუნიციპალიტეტ ს
ოდრი	ოდ რი
დრამის	დრამ ის
ტელესკოპით	ტელესკოპ ით
ნივთები	ნივთ ები
დაუკრა	დაუკრა
შრი	შ რი
დაუჯერა	დაუ ჯერ ა
შინაური	შინაურ ი
განისაზღვრება	განისაზღვრ ება
კონსტანტინეპოლის	კონსტანტინე პოლის
ისლ	ის ლ
ოჰრიდის	ოჰრიდ ის
გაუქმებით	გაუქმ ებით
მკაცრადაა	მკაცრ ადაა
მაქსიმუსი	მაქსიმ უსი
მხარდამჭერი	მხარდამ ჭერი
რგოლებით	რგოლ ებით
ალპებთან	ალპ ებთან
მოსაზრებებს	მოსაზრ ებებს
თვისებებისა	თვისებ ებისა
ბიძაშვილ	ბიძაშვი ლ
ბერიას	ბერი ას
ომისას	ომ ისას
გამოსვლისთანავე	გამოსვლ ისთანავე
უკანასკნელზე	უკანასკნელ ზე
გონჩაროვა	გონჩა როვ ა
უძლიერეს	უძლიერ ეს
რბოლის	რბოლ ის
ლოცულობდა	ლოცულ ობდა
მინიმუმის	მინიმუმ ის
გრძნობები	გრძნობ ები
აუკრძალეს	აუკრძალ ეს
მიკრო	მიკრო
რენო	რენ ო
მიმართვა	მიმართ ვა
ადმინისტრატორი	ადმინისტრატორ ი
საბჭოელებმა	საბჭო ელებმა
შესამკობად	შეს ამკობ ად
არს	არ ს
მოხმარებისთვის	მოხმარებ ისთვის
კრიზისს	კრიზის ს
მშვიდობიანად	მშვიდობ იანად
ფილმსა	ფილმ სა
ძანეტი	ძანეტ ი
ფიზიკას	ფიზიკ ას
სომხეთთან	სომხ ეთთან
სამოთხეში	სამოთხ ეში
პიქსელების	პიქს ელების
აკლია	აკლ ია
სატრფიალო	სატრ ფიალო
განისაზღვრებოდა	განისაზღვრ ებოდა
მიაღებინა	მი აღ ებინა
კომპილაცია	კომპილ აცია
ტოტები	ტოტ ები
დანალექებით	დანალექ ებით
უმრავლესი	უმრავლეს ი
მონეტების	მონეტ ების
სიგრძეც	სიგრძე ც
ზოგიერთს	ზოგიერთ ს
წარსულისა	წარსულ ისა
ჯავშნით	ჯავშნ ით
გეოგრაფიულმა	გეოგრაფი ულმა
მისულმა	მისულ მა
აზერბაიჯანულ	აზერბაიჯან ულ
თავდაუზოგავი	თავდაუზოგ ავი
მხედართა	მხედართ ა
გაცვლას	გაცვლ ას
მთიელთა	მთი ელთა
ინტერესმა	ინტერეს მა
ვეძიოთ	ვე ძიოთ
ავსებენ	ავს ებენ
სლოგანი	ს ლოგანი
სამეფოსა	სამეფო სა
მწუხარე	მწუხარ ე
ნათესავთან	ნათესა ვთან
სლიმ	ს ლიმ
თანამდროვე	თანამ დრო ვე
ირთვება	ირთვ ება
მოუთხრო	მოუ თხრო
მოხდენას	მოხდე ნას
დაინტერესებას	და ინტერეს ებას
მკურნალი	მკურნა ლი
პედრო	პედრო
ფართობის	ფართობ ის
ღირებულებას	ღირებულ ებას
ტბისპირა	ტბ ისპირა
შესრულებულმა	შესრულ ებულმა
სტამბის	სტამ ბის
მატრიცული	მატრიც ული
ადამიანისთვის	ადამიან ისთვის
დაუნის	და უნის
სენატორებმა	სენატო რებმა
შეუჩერებელი	შეუ ჩერებელი
მიყვარს	მიყვარ ს
ინიციატორია	ინიცია ტორია
პსვ	პ სვ
მანდილი	მანდ ილი
საჭმელად	საჭმ ელად
დამნაშავეებად	დამნაშა ვეებად
სულისკვეთების	სულისკვეთ ების
ინტეგრირებულ	ინტეგრ ირებულ
ღვინისა	ღვინ ისა
გაგრძელებაა	გაგრძელ ებაა
ადგენენ	ადგენ ენ
მოთხოვნილების	მოთხოვნ ილების
გასაკვირია	გასაკვირ ია
დადგმული	დადგმ ული
მიმდინარეობის	მიმდინარეო ბის
ინდუსტრიას	ინდუსტრი ას
იუგოსლავიელებს	იუგოსლავი ელებს
ვიქტორიის	ვიქტორი ის
სოკოებს	სოკო ებს
სამუშაოზე	სამუშაო ზე
აქსუმის	აქს უმის
შემოსავლებს	შემოსავლ ებს
ტაილანდში	ტაილანდ ში
საბედნიეროდ	სა ბედნიე როდ
ვენერას	ვენერ ას
მითოლოგიით	მითოლოგი ით
იზრდებოდა	იზრდ ებოდა
მშენებლობას	მშენებლობ ას
წყაროებზე	წყარო ებზე
მომხდარიყო	მომხდარ იყო
ბელერიანდის	ბელერიანდ ის
პოლიციელი	პოლიცი ელი
დაკვირვებები	დაკვირვ ებები
გადაწყვეტა	გადაწყვეტ ა
დალაშქრა	დალაშქ რა
სიმბოლიზმის	სიმბოლ იზმის
ხაზისგან	ხაზ ისგან
მონაწილეები	მონაწილე ები
განწყობილნი	გან წყობილ ნი
კინოაკადემიის	კინო აკადემიის
პატიება	პატი ება
შემდეგაც	შემდეგ აც
დამწერლობის	და მწერლობ ის
ნაპირას	ნაპირ ას
გაანაწყენა	გაა ნაწყენ ა
გალერეას	გალერე ას
მესხეთი	მესხ ეთი
არტაქსერქსე	არტა ქსერქსე
თავისი	თავის ი
იაპონიამ	იაპონ იამ
ინდუსტრიალიზებული	ინდუსტრი ალიზებული
ვაჟიშვილს	ვაჟიშვილ ს
ნათლისმცემლის	ნათლის მცემლის
წამალს	წამ ალს
დაეხმაროს	დაეხმარ ოს
მონასტრებში	მონასტ რებში
მოიცავდეს	მოიც ავდეს
დეპრესიაში	დეპრეს იაში
ხიდია	ხიდ ია
უზრუნველყოფს	უზრუნველყო ფს
აფხაზურ	აფხაზ ურ
კაპიტანი	კაპიტან ი
პასუხებს	პასუხ ებს
პიასტების	პი ასტების
საიდუმლოს	საიდუმ ლოს
იპოლიტო	იპოლიტ ო
უკავშირდებიან	უკავშირდებ იან
ცნებაა	ცნებ აა
შემოჭრას	შემოჭრ ას
დუბლი	დუბლ ი
ყურებადი	ყურ ებადი
ბოჰემიაში	ბოჰემ იაში
დასჯერდნენ	დას ჯერდნენ
რაცხა	რაცხ ა
იცნობდა	იცნობ და
ზომამ	ზომა მ
ფურცლებს	ფურც ლებს
დამწერლობები	დამწერლობებ ი
დიუვალიე	დიუ ვალიე
ამოღებულია	ამოღებ ულია
ლიტერატურული	ლიტერატურ ული
რიონისა	რიონ ისა
ჩამოყალიბებაზე	ჩამოყალიბ ებაზე
ნინას	ნინ ას
ფინანსების	ფინანს ების
ხილულ	ხილ ულ
ითხოვდა	ითხოვ და
ვრცელდებიან	ვრცელ დებიან
მესერის	მესერ ის
გოგონათა	გოგონ ათა
სოციალ	სოციალ
ოთხზე	ოთხ ზე
ვარსკვლავებზე	ვარსკვლავ ებზე
ტოლკინმა	ტოლკინ მა
ქორწინებისთვის	ქორწინ ებისთვის
აგებით	აგ ებით
თავის	თავ ის
მიაგნო	მიაგ ნო
რეგულაციების	რეგულაცი ების
გამოიყოს	გამო იყოს
მოტივები	მოტივ ები
შეცდომით	შეცდომ ით
პალესტინა	პალესტი ნა
გაზის	გაზ ის
ინჟინერის	ინჟინერ ის
შტატ	შ ტატ
ნამუშევარი	ნამუშევ არი
ბეგინსის	ბეგ ინსის
ფილიპუსი	ფილიპ უსი
შემდგომშიც	შემდგომ შიც
ზედმეტად	ზედმეტ ად
აუშენებია	აუშენები ა
რადიალური	რადი ალური
ქალა	ქალ ა
ვალდაის	ვალდა ის
გენები	გენ ები
ნიკო	ნიკ ო
ორაზროვანი	ორ აზროვანი
გაისროლეს	გაი სროლეს
დეპის	დეპ ის
წვნიანი	წვნ იანი
გამოცხადებას	გამოცხადებ ას
ცენტრთან	ცენტრ თან
ხელოვნებასა	ხელოვნებ ასა
ბუდისტები	ბუდისტ ები
მას	მა ს
რიცხობრივად	რიცხობრივ ად
ყინულს	ყინულ ს
შედარებები	შედარ ებები
თანამგზავრი	თანამგზავრ ი
ინსტრუმენტებისა	ინსტრუმენ ტებისა
მემკვიდრედ	მემკვიდრე დ
ცხვირში	ცხვირ ში
პელიასი	პ ელიასი
ხაზებით	ხაზ ებით
ნოემბრიდან	ნოემბრ იდან
