ბათუმში	ბათუმ ში
მოპყრობა	მოპყრობ ა
კოლეგა	კოლეგ ა
მიმაგრებული	მიმაგრ ებული
ქვაზე	ქვ აზე
შუამდე	შუ ამდე
აუგუსტ	აუგუსტ
არტისტი	არტისტ ი
დასაწყისშივე	დასაწყის შივე
დისტანციაზე	დისტანცი აზე
მუშკეტერთა	მუშკეტერ თა
ტურისტულ	ტურისტ ულ
დიდს	დიდ ს
ბრწყინვალის	ბრწყინვალ ის
უკანასკნელის	უკანასკნელ ის
პრაქტიკოსი	პრაქტიკ ოსი
სანტიმეტრი	ს ანტიმეტრ ი
ნაწყენი	ნაწყენ ი
ნიშანზე	ნიშან ზე
შეითავსა	შეი თავს ა
სიმინდის	სიმინდ ის
ტალღებს	ტალღ ებს
ფრანგ	ფრანგ
ელექტრონების	ელექტრონ ების
გაიმართა	გაიმართ ა
მიმდევრობით	მიმდევრ ობით
კატონმა	კატონ მა
შეტანილ	შეტან ილ
ივარაუდეს	ივარაუდ ეს
სამშობლოში	სა მშობლ ოში
კავკასიელი	კავკასი ელი
ტარანი	ტარ ანი
ურუგვაიმ	ურუგვა იმ
ფრედი	ფრედ ი
მტკიცებით	მტკიც ებით
დედაჩემი	დედა ჩემი
დაეძაბა	დაეძაბ ა
პროცენტის	პროცენტ ის
დაახლოებული	და ახლო ებული
ატმოსფეროზე	ატმოსფერო ზე
დაკავებას	დაკავებ ას
მოსახლეობამ	მოსახლე ობამ
არშია	არში ა
უმეტესობამ	უმეტესობ ამ
თაობათა	თაობ ათა
ჩხერიმელას	ჩხერიმელ ას
შვილებს	შვილ ებს
სიმაგრეები	სიმაგრე ები
გავლენიანი	გავლენ იანი
შეხვდნენ	შეხვდ ნენ
მარკოზ	მარკოზ
ურბანიზაციის	ურბან იზაციის
წრფივად	წრფივ ად
საგამოცდო	სა გამოცდ ო
მონაწილეთა	მონაწილე თა
ჩარტის	ჩარტ ის
ვერცხლისწყლის	ვერცხლ ისწყლ ის
სახელებს	სახელ ებს
დამოკიდებული	დამოკიდებულ ი
რამსეს	რამ სეს
ლოკომოტივის	ლოკომოტივ ის
ფოთოლი	ფოთოლ ი
ბეჭედზე	ბეჭედ ზე
იკერებოდა	ი კერებოდა
სპორებით	სპორ ებით
უკანასკნელმა	უკანასკნელ მა
ტრადიციულ	ტრადიცი ულ
აღშფოთება	აღშფოთ ება
ანგელოზი	ანგელოზ ი
საბადოების	საბადო ების
მხარდაჭერა	მხარდაჭერ ა
ეთანხმება	ეთანხმ ება
მოქმედებაში	მოქმედებ აში
ხუროთმოძღვრული	ხუროთმოძღვრ ული
გაგზავნილ	გაგზავნ ილ
გამოცდილებით	გამოცდილ ებით
ეწამნენ	ეწამ ნენ
გამოვლინებები	გამოვლინ ებები
კონფლიქტში	კონფლიქტ ში
ტერმინად	ტერმინ ად
ქალების	ქალ ების
გამოემართა	გამოე მართა
კონფერენციამ	კონფერენცი ამ
ოდესის	ოდეს ის
შემკრები	შემ კრები
ალბომებისგან	ალბომ ებისგან
ნაციონალურ	ნაციონალ ურ
დევნილების	დევნილ ების
მოგვცემს	მოგვ ცემს
მინიჭება	მინიჭ ება
შეუერთდეს	შეუერთ დეს
აჭარბებს	აჭარბ ებს
გამოქვეყნებული	გამოქვეყნ ებული
დაბრუნებულიყო	დაბრუნებულ იყო
ირინეს	ირინ ეს
დოზით	დოზ ით
ბიზნესის	ბიზნეს ის
იქაურ	იქაურ
სვლით	სვლ ით
სურათს	სურათ ს
გზებს	გზ ებს
გავლა	გავლ ა
მოდელმა	მოდელ მა
სეისმური	სეისმ ური
სიტყვის	სიტყვ ის
გაზი	გაზ ი
სადესანტო	სა დესანტ ო
გამოკლებით	გამოკლ ებით
პრეტენდენტთა	პრეტენდენტ თა
გადანაწილებულია	გადანაწილ ებულია
სარდლობის	სარდლ ობის
პერიოდზე	პერიოდ ზე
ბრძნული	ბრძნ ული
გადასცემდნენ	გადასცემ დნენ
ასაზრდოებს	ა სა ზრდო ებს
დროის	დრო ის
ახლოს	ახლო ს
ჩამოახრჩვეს	ჩამოა ხრჩვეს
მონასტერს	მონასტერ ს
ნაშრომებს	ნაშრომ ებს
გასროლის	გასროლ ის
სიწმინდის	სიწმინდ ის
ფრენას	ფრენ ას
არქიტექტორების	არქიტექტორ ების
ალში	ალ ში
ბაბუას	ბაბუ ას
რღვევები	რღვევ ები
სისტემური	სისტემ ური
მაგალითად	მაგალით ად
გაითიშა	გაითიშ ა
დაყოფილი	დაყოფილ ი
მოხელეები	მოხელე ები
გამოიყენება	გამოიყენ ება
მოგვითხრობს	მოგვითხრ ობს
აქროლადი	აქროლ ადი
გადაწვა	გადაწვ ა
ეყრდნობოდნენ	ეყრდნობ ოდნენ
ლურჯია	ლურჯ ია
აღდგენისათვის	აღდგენ ისათვის
პაქტის	პაქტ ის
რომიდან	რომ იდან
სხივური	სხივ ური
კერუაკის	კერუაკ ის
ასვენებს	ას ვ ენ ებს
თანახმად	თანახმ ად
დარგობრივი	დარგ ობრივი
ვადენზეეს	ვა დენზე ეს
ელენას	ელენ ას
მთლიანადაა	მთლიან ადაა
განსახორციელებლად	განსა ხორციელ ებლად
სარწმუნოებრივი	სა რწმუნო ებრივი
ნიკი	ნიკ ი
მხოლო	მხოლ ო
ლოუს	ლო უს
მოიკლავს	მოიკლ ავს
შედეგებიც	შედეგ ებიც
ფოტოგრაფიის	ფოტოგრაფ იის
ცირკულაციის	ცირკულაცი ის
კინოფილმი	კინოფილმ ი
წარსულსა	წარსულ სა
დეპრესიის	დეპრესი ის
შეწყვეტა	შეწყვეტ ა
არშაკ	არ შაკ
სემდეგ	სემ დეგ
ღეროსა	ღერო სა
როხელიო	რო ხელი ო
მარიანა	მარ იანა
სოფლელი	სოფლ ელი
მყარად	მყარ ად
წრეებშიც	წრე ებშიც
კინგი	კინგ ი
ბოროტად	ბოროტ ად
რაუნდი	რაუნდ ი
პრადოს	პრ ადოს
ერთეულებად	ერთეულ ებად
კერიდან	კერ იდან
ფეგელეინის	ფეგელეინ ის
გერმანელ	გერმანელ
დააჯარიმა	დაა ჯარიმ ა
კურორტი	კურორტ ი
სპეციფიურ	სპეციფი ურ
ადაპტირება	ადაპტირ ება
გაგებას	გაგ ებას
კალთების	კალთ ების
ქალებმა	ქალ ებმა
ეფექტურობის	ეფექტურობ ის
ფერდინანდს	ფერდინანდ ს
ერთგულებით	ერთგულ ებით
სამჯერ	სამ ჯერ
შენობასთან	შენობ ასთან
პორტალი	პორტალ ი
უფროს	უფროს
არ	არ
პუტინი	პუტინი
სიმღერისგან	სიმღერ ისგან
აინუ	აინუ
ხარჯია	ხარჯ ია
დარიშხანის	დარიშხან ის
მოუხადა	მოუხ ადა
მეუღლემ	მეუღლე მ
კომისიის	კომისი ის
თეთრკანიანები	თეთრკან იანები
იუპიტერი	იუპიტერ ი
შემოფარგლული	შემოფარგლულ ი
ლალა	ლალ ა
მომღერალზე	მომღერალ ზე
ესტაფეტა	ეს ტაფ ეტა
მონდომებით	მონ დომებით
მოდის	მოდ ის
ხლათის	ხლ ათ ის
მალდინიმ	მალდინი მ
დამორჩილებოდნენ	დამორჩილ ებოდნენ
თეატრალური	თეატრ ალური
კუნძულზეც	კუნძულ ზეც
მოჯადოებული	მო ჯადოებული
გაძარცვეს	გაძარცვ ეს
ზოგან	ზო გან
კლასიფიკაცია	კლასიფიკაცი ა
მითითებებს	მითითებ ებს
შტატებმა	შტატ ებმა
ჟიური	ჟიურ ი
მოტივებზე	მოტივ ებზე
მაყურებლის	მაყურებლ ის
ნახევარდაცვაში	ნახევარდაცვ აში
დამწერლობისა	დამწერლობ ისა
მარჯანიშვილის	მარჯანიშვილ ის
ადგილში	ადგილ ში
მაყურებელს	მაყურებელ ს
რეპრესირებული	რეპრესი რებული
შეუერთდა	შეუერთ და
შუამდინარეთი	შუამდინარეთ ი
პრინციპულ	პრინციპ ულ
რომანსები	რომან სები
სამთავროებად	სა მთავრო ებად
ქარის	ქარ ის
ინფექციურ	ინფექცი ურ
მსახურობდა	მსახურ ობდა
გაანათხოვრეს	გაანათხოვ რეს
კამერით	კამერ ით
განუხორციელებელი	განუ ხორციელ ებელი
კომიქსი	კომიქს ი
მანქანები	მანქან ები
ნაგებობათაგან	ნაგებობ ათაგან
ხეობასა	ხეობ ასა
პიროვნებებს	პიროვნ ებებს
პოპულარიზაციას	პოპულარიზაცი ას
ხომალდით	ხომალდ ით
კარლ	კარლ
გადაწყვეტილ	გადაწყვეტილ
ურთიერთობაა	ურთიერთობ აა
გაიზარდოს	გაიზარდ ოს
კიბეა	კიბე ა
აიმარას	აიმარ ას
საზღვრებით	საზღვრ ებით
უკრაინული	უკრაინ ული
ჟანრი	ჟანრ ი
სასაცილოდ	სა საცილ ოდ
ელი	ელი
ყველზე	ყველ ზე
მეტოქეს	მეტოქე ს
რუსულად	რუს ულად
რეალიზმი	რეალიზ მი
კურსკის	კურს კის
კანიონები	კანიონ ები
ალბრეხტი	ალბრეხტ ი
ნაპირებს	ნაპირ ებს
აზერბაიჯანული	აზერბაიჯან ული
უჯრედული	უჯრედ ული
საკითხებში	საკითხ ებში
ხედით	ხედ ით
რუსეთიდან	რუსეთ იდან
სანახავად	სა ნახავ ად
აცილებას	აცილ ებას
ხოცვა	ხოც ვა
პროსტიტუცია	პროსტიტუ ცია
არგენტინას	არგენტინ ას
ათეიზმის	ათეიზმ ის
ბაბა	ბაბ ა
ყოველკვირეული	ყოველკვირეულ ი
გადაიზარდა	გადა იზარდა
ნოეს	ნო ეს
ფრონეს	ფრონ ეს
გვარიდან	გვარ იდან
დათუნა	დათ უნა
მეთვალყურე	მეთვალყურე
ჩასახვა	ჩასახ ვა
შესვენების	შესვენ ების
ახლობელ	ახლო ბელ
სკაუტების	სკაუტ ების
ტროელი	ტრო ელი
არსებებად	არსებ ებად
მაჰმადიანთა	მაჰმადიან თა
მოთხოვნილება	მოთხოვნილ ება
როლები	როლ ები
შემცველობით	შემცველ ობით
ხანა	ხან ა
გემოთი	გემ ოთი
ერედ	ერედ
უნგრეთმა	უნგრეთ მა
სპერი	სპერ ი
ჯაყელმა	ჯაყელ მა
ტონები	ტონ ები
ლითონური	ლითონ ური
მთაწმინდის	მთაწმინდ ის
საბაბით	სა ბაბ ით
პანტომიმის	პან ტომიმის
კონტრშეტევის	კონტრ შეტევ ის
წყალწითელას	წყალ წითელას
ტიპიურად	ტიპიურ ად
იმჟამად	იმ ჟამ ად
პოეტები	პოეტ ები
ბირმის	ბირ მის
ძლებს	ძლ ებს
კოტორის	კოტ ორის
სინათლეს	სინათლ ეს
გუნარ	გუნ არ
დონა	დონ ა
სეზამის	სეზა მის
ერთიმეორისაგან	ერთიმეორ ისაგან
მეთვრამეტე	მე თვრამეტ ე
მოაპოვებინა	მოა პოვებინა
დასცინის	დასცინ ის
პოლმა	პოლ მა
ბეიტსმა	ბე იტსმა
თავისუფლებით	თავისუფლ ებით
კარსტული	კარსტ ული
დედამისმა	დედამის მა
ხორციელდებოდა	ხორციელ დებოდა
პაციენტი	პაციენტ ი
მართვით	მართვ ით
კოლუმბიელი	კოლუმბი ელი
გიორგის	გიორგ ის
წლების	წლ ების
ტემპერატურების	ტემპერატურ ების
აზიას	აზი ას
კუჭუხიძე	კუჭ უხიძე
ვიქტორიაში	ვიქტორი აში
თმის	თ მის
ანთროპოლოგიური	ანთროპოლოგი ური
პიესების	პიეს ების
ხელმოწერის	ხელმოწერ ის
ჰელიოსის	ჰელიოსი ს
ნალექიანობა	ნალექ იანობა
წიდა	წ იდა
კაცის	კაც ის
სახეც	სახე ც
შემოქმედება	შემოქმედ ება
გამარჯვებამდე	გამარჯვებ ამდე
შემდგენელი	შემდგენ ელი
კარმენი	კარმენ ი
კოლხი	კოლხ ი
კუდს	კუდ ს
ბარბარე	ბარბარ ე
ვირტუალურ	ვირტუალურ
მარაგები	მარაგ ები
პოეზიით	პოეზი ით
მარტინე	მარტინ ე
შეამჩნიეს	შეამჩნ იეს
ნიგერია	ნიგერი ა
სოკრატეს	სოკრატ ეს
თბილელის	თბილ ელის
ენერგიული	ენერგი ული
ჩართულ	ჩართულ
ჯაჭვური	ჯაჭვ ური
პილასტრებს	პილასტრ ებს
ნაწილებია	ნაწილებ ია
შემოწმებული	შემოწმ ებული
აღიარებენ	აღიარ ებენ
ლოტოსის	ლოტოს ის
მტევანი	მ ტევანი
ვერსიით	ვერსი ით
გადაშლილი	გადა შლილი
გადმოსხმა	გადმო სხმა
ლუდოვიკო	ლუდ ოვიკო
მიაწერა	მიაწერ ა
რიგგარეშე	რიგ გარეშე
კლავიშები	კლავიშ ები
მეხუთედ	მეხუთე დ
შესწავლის	შესწავლ ის
ოლ	ოლ
წარმოითქმის	წარმო ითქმ ის
მამულში	მამულ ში
ცელის	ცელ ის
რეინკარნაციის	რეინ კარნაციის
წერო	წერ ო
არათანმიმდევრული	არა თანმიმდევრ ული
მამია	მამი ა
ჰარისონის	ჰარისონ ის
ერთდ	ერთ დ
აეღო	ა ეღო
ახასიათებენ	ახასიათებ ენ
წარსულის	წარსულ ის
ვსვამ	ვ სვამ
იზეიმა	იზეიმ ა
მარილს	მარილ ს
ხელოსნები	ხელოსნ ები
პოპულაციის	პოპულაცი ის
აღმომჩენად	აღმომჩენ ად
იოან	იო ან
ფლოტის	ფლოტ ის
სარაევოს	სარაევო ს
შევადარებთ	შევადარ ებთ
ფეისბუქზე	ფე ისბუქზე
ბუნებრივ	ბუნებრივ
დაზიანებული	დაზიან ებული
ქვაბი	ქვაბ ი
გაუკეთებია	გაუკეთ ებია
ბიუროს	ბიურო ს
როლს	როლ ს
კარია	კარ ია
მრავლდება	მრავლდ ება
ჯილეხის	ჯილ ეხის
შეგიძლიათ	შეგიძლია თ
აბრაამისეული	აბრაამ ისეული
პოპი	პოპი
ხელოვანის	ხელოვან ის
მაღაზიას	მაღაზი ას
ალაჰის	ალაჰ ის
თევდორეს	თევდორ ეს
ასპარეზობას	ასპარეზ ობას
ფერია	ფერ ია
დევიდმა	დევიდ მა
რაიმონდ	რაი მონდ
ერთეულს	ერთეულ ს
პირღებინება	პირ ღებინ ება
იძულებული	იძულებულ ი
თქმით	თქმ ით
დაასწრო	დაა სწრო
ლამაზი	ლამაზ ი
მცენარეზე	მცენარე ზე
ნიცაში	ნიც აში
უსასყიდლოდ	უ სასყიდ ლოდ
ღვაწლისთვის	ღვაწლ ისთვის
ცურვა	ცურვ ა
განტოლება	განტოლ ება
იმსახურებდა	იმსახურ ებდა
კომიკურ	კომ იკურ
მეტრი	მეტრ ი
აუზი	აუზ ი
კიბო	კიბო
ოფისში	ოფის ში
სათავსო	სათავს ო
კახეთში	კახეთ ში
ზემდგომი	ზემდგომ ი
მაღაზიათა	მაღაზი ათა
მარადის	მარად ის
ტრაფორდზე	ტრა ფორდზე
ირმების	ირმ ების
ორადგილიანი	ორ ადგილ იანი
ღარიბ	ღარიბ
დაკავებაში	დაკავებ აში
პაპავა	პაპ ავა
გაგონილი	გა გონილი
დაიხიეს	დაიხ იეს
დილიდან	დილ იდან
დასათარიღებლად	დასა თარიღებლად
აფხაზის	აფხაზ ის
ცეცხლის	ცეცხლ ის
წარმოჩენა	წარმოჩენ ა
აგურით	აგურ ით
ლოცვებს	ლოცვ ებს
მილიარდი	მილიარდ ი
ასტრახანში	ასტრახან ში
ტარიელი	ტარიელ ი
ლოგო	ლოგო
მაჩაბლის	მაჩაბ ლის
ღვთისმშობლის	ღვთისმშობლ ის
სახისა	სახ ისა
ლეგატი	ლ ეგატი
ჯგუფ	ჯგუფ
შეიყვარა	შეი ყვარა
მათმა	მათ მა
ანონიმურად	ანონიმ ურად
უძღოდა	უ ძღოდა
მოიარეს	მოი არეს
დედასთან	დედ ასთან
არნოს	არნ ოს
ლაუს	ლა უს
ფრიქსეს	ფრი ქსეს
რაო	რა ო
დამკვიდრება	დამკვიდრ ება
ადმინისტრაციულმა	ადმინისტრაცი ულმა
ცხოველზე	ცხოველ ზე
ზამბიაში	ზამბი აში
სინანულში	სინანულ ში
შემოღებულ	შემოღ ებულ
კოსმოდრომიდან	კოსმ ოდრომიდან
განაგრძობს	განაგრძ ობს
ამკობს	ამკობ ს
კუთხეები	კუთხეებ ი
ურანს	ურან ს
ხეობებითა	ხეობ ებითა
დიკის	დიკ ის
აღიარების	აღიარ ების
გადაჭიმული	გადაჭიმულ ი
მონაკვეთად	მონაკვეთ ად
სახელმძღვანელოდ	სა ხელმძღვანელ ოდ
ნაიარევი	ნაი არევ ი
ნამრავლის	ნამრავლ ის
თქვენი	თქვენ ი
ჯუჯიდან	ჯუჯ იდან
სუბტროპიკულ	სუბტროპიკულ
სამკუთხედს	სა მკუთხედ ს
სეპარატისტულმა	ს ეპარატისტ ულმა
გამოსახულებას	გამოსახულ ებას
ხეობა	ხეობ ა
გართობის	გართ ობის
ანაბეჭდი	ანაბეჭდ ი
გარეგნობის	გარეგნობ ის
დედამიწას	დედამიწ ას
აჰმედი	აჰმედ ი
მომენატრე	მომენა ტრე
მოწინააღმდეგეებს	მოწინააღმდეგე ებს
ტერმინოლოგიაში	ტერმინოლოგი აში
ჯაჭვების	ჯაჭვ ების
საფრანგეთისგან	სა ფრანგეთ ისგან
სიცილის	სიცილი ს
მეტისები	მეტის ები
წოდებაზე	წოდებ აზე
ხორთუმი	ხო რთუმი
იხსენიებენ	იხსენი ებენ
საღებავები	სა ღებავ ები
პოეტს	პოეტ ს
პოლო	პოლ ო
ფსიქიკის	ფსიქიკ ის
შეიმოსა	შეი მოსა
მთავრის	მთავრ ის
მუშკეტერი	მუშკეტერ ი
იმამის	იმამ ის
დანიელი	დანიელ ი
თაიმია	თაიმ ია
საქმეთა	საქმე თა
გუანოს	გუან ოს
პასუხობს	პასუხ ობს
სერაპიონ	სერაპი ონ
საფონდო	სა ფონდ ო
საგზურს	სა გზურ ს
ემიგრაცია	ემიგრაცი ა
ლაიკა	ლა იკა
მიენიჭებინა	მიენიჭ ებინა
კმეტი	კმეტ ი
ნაწერი	ნაწერ ი
საგანში	საგან ში
თბილისის	თბილის ის
ზურგით	ზურგ ით
კურნავდა	კურნ ავდა
ავანგარდული	ავანგარდ ული
მოწყობილობების	მოწყობილობ ების
რედაქციამ	რედაქცი ამ
ბოლოსა	ბოლოს ა
სტადია	სტადი ა
კონტროლს	კონტროლ ს
პროვინციებად	პროვინცი ებად
ბოძის	ბოძ ის
გადათარგმნა	გადა თარგმნა
აძბა	აძ ბა
არჩევდნენ	არჩევ დნენ
გუბერნიის	გუბერნი ის
ვაჭრობისა	ვაჭრობ ისა
სულა	სულ ა
რაიხსტაგი	რაიხსტაგ ი
საგანძურში	სა განძურ ში
შემადგენლობამ	შემადგენლობ ამ
პატრიოტულ	პატრიოტ ულ
ჰარის	ჰარ ის
ასაკსა	ასაკ სა
კონცერტზე	კონცერტ ზე
მაცდური	მა ცდ ური
გრამფირფიტებზე	გრამფირფიტ ებზე
შოპენი	შოპენ ი
მოქცევა	მოქცევ ა
კოგნიტური	კოგნიტურ ი
მომუშავეთა	მომუშავ ეთა
გავრცელების	გავრცელ ების
სკრუჯის	სკრ უჯის
ანბანს	ანბან ს
საშუალი	საშუალ ი
მარგარიტა	მარგარიტ ა
ქუთაისს	ქუთაის ს
დაქვემდებარება	დაქვე მდებარ ება
განხილვა	განხილვ ა
სავარძელი	სა ვარ ძელ ი
ტრილიონი	ტრი ლიონ ი
იარუსის	იარუს ის
პატრიარქობის	პატრიარქ ობის
სართულებზე	სართულ ებზე
უერთდებიან	უერთდ ებიან
შეუსრულდა	შეუსრულ და
იყიდებოდა	იყიდ ებოდა
კრონპრინცი	კრონ პრინცი
დატოვებდა	დატოვ ებდა
სულელური	სულ ელური
როუდზი	როუდ ზი
წარმოაჩინოს	წარმოა ჩინოს
თაღიანი	თაღ იანი
პრესაში	პრეს აში
ჯარისკაცებს	ჯარისკაც ებს
ნადირობს	ნადირობ ს
მასშტაბური	მასშტაბ ური
უოტსონი	უოტსონ ი
გატანას	გატან ას
იმერული	იმერ ული
მთასა	მთ ასა
ბერბერების	ბერბერ ების
ტექნეციუმი	ტექნ ეციუმი
ძრავს	ძრავ ს
ახალშობილები	ახალშობილ ები
ლილ	ლილ
მდინარეებიდან	მდინარეებ იდან
ჰანტი	ჰ ანტი
უძღვის	უძღვ ის
ადამიანებით	ადამიან ებით
გარდაუვალ	გარდაუვალ
მწუხარება	მწუხარ ება
ხარჯებით	ხარჯ ებით
სერბი	სერბ ი
ლიბიის	ლიბი ის
მკითხაობის	მკითხა ობის
სპურსი	სპურს ი
მიწათმოქმედი	მიწათმოქმედ ი
რაყას	რაყ ას
შეღავათები	შეღავათ ები
ჯოისს	ჯოის ს
გამოცადა	გამოც ადა
მოიხსენიებდნენ	მოიხსენ იებდნენ
მშობლებისთვის	მშობლების თვის
ნარჩენებს	ნარჩენ ებს
ბეჭდები	ბეჭდ ები
ნაფიც	ნაფიც
ქერქს	ქერქ ს
ფერმის	ფერმ ის
ქვემეხის	ქვემეხ ის
ამოსვლას	ამოსვლ ას
შენელებული	შენელ ებული
ჩუის	ჩუ ის
ხევსური	ხევსურ ი
მაღაზიებში	მაღაზი ებში
გვერდიდან	გვერდ იდან
ქარისმიერი	ქარ ისმიერი
ცივილიზაციებს	ცივილიზაცი ებს
კიტ	კიტ
ალბერტ	ალბერტ
სერიად	სერი ად
შუადღეს	შუადღ ეს
უფლებებს	უფლებ ებს
მადლიერმა	მადლიერ მა
საორკესტრო	სა ორკესტრ ო
გვერდებზე	გვერდ ებზე
ფიზიოლოგიურ	ფიზიოლოგი ურ
დაადასტურეს	დაადასტურ ეს
შვედებმა	შვედ ებმა
ედგარ	ედ გარ
დადებით	დად ებით
საუკუნეში	სა უკუნე ში
გამოეგზავნა	გამოეგზავნ ა
ცეცხლიდან	ცეცხლ იდან
მური	მურ ი
პერიოდიდან	პერიოდ იდან
დინასტიის	დინასტი ის
მაიკლმა	მაიკლ მა
დეიტა	დეიტ ა
საღვინე	სა ღვინ ე
წარმოდგა	წარმო დგ ა
იბრუნებს	ი ბრუნ ებს
ლაგუნების	ლაგუნ ების
დისკით	დისკ ით
იტალიაში	იტალი აში
უწოდებდა	უწოდ ებდა
ბაბილონის	ბაბილონ ის
შინაარს	შინაარს
ვერსიებში	ვერსი ებში
მიტაცებულ	მიტაც ებულ
იზოლირებულ	იზოლირ ებულ
მჭიდრო	მჭიდრო
რანგი	რანგ ი
სცემენ	სცემ ენ
ალბანელი	ალბანელ ი
გამოცოცხლება	გამოცოცხლ ება
ქმედებით	ქმედებ ით
მშვიდობისა	მშვიდობ ისა
ქალაქი	ქალაქ ი
ჟორდანია	ჟორდანია
წევრებისა	წევრებ ისა
ავენიუს	ავენიუ ს
მერია	მერი ა
სისხლძარღვოვანი	სისხლძარღვ ოვანი
მაქსიმუმს	მაქსიმუმ ს
მსახური	მსახურ ი
გროზნოს	გრო ზნოს
ამოსვლამდე	ამოსვლ ამდე
რიონის	რიონ ის
დასავლეთს	დასავლეთ ს
გაუკეთეს	გაუკეთ ეს
ფეხბურთელმა	ფეხბურთელ მა
ახალგაზრდების	ახალგაზრდ ების
გადამწერის	გადამწერ ის
პორტუგალიამ	პორტუგალი ამ
ჯერალდ	ჯერ ალდ
გარღვევის	გარღვევ ის
კეთილდღეობისათვის	კეთილდღე ობისათვის
უსისხლო	უსისხლ ო
მამოძრავებელი	მა მოძრავ ებელი
მინიმუმს	მინიმუმ ს
ფლორესი	ფლორ ესი
მეფეების	მეფე ების
ადგილებს	ადგილებ ს
მონაკვეთები	მონაკვეთ ები
ქსელმა	ქსელ მა
შოტლანდიელი	შოტლანდი ელი
განტოლებების	განტოლ ებების
დაუკავშირა	დაუკავშირ ა
ბიზნეს	ბიზნეს
ენისათვის	ენ ისათვის
ფრენს	ფრენ ს
მენინგი	მენინგ ი
კონვენცია	კონვენც ია
წყალმცენარეების	წყალ მცენარე ების
ნინკენის	ნინ კენის
სახელებია	სახელ ებია
ვლადიმერის	ვლადიმერ ის
კომპონენტია	კომპონენტ ია
წარმოსახული	წარმოსახ ული
ქალთა	ქალ თა
ეწარმოებინა	ე წარმო ებინა
ვერსიებისგან	ვერსი ებისგან
განლაგებული	განლაგ ებული
დარჩია	დარჩ ია
ზოლს	ზოლ ს
პატარძალს	პატარ ძალს
განაჩენის	განაჩენ ის
პროტესტანტ	პროტესტანტ
დასახსნელად	და სა ხსნ ელად
ნაბახტევის	ნაბახ ტევ ის
ტრანზიტის	ტრანზიტ ის
გვაროვნული	გვაროვნულ ი
ოპტიმატების	ოპტიმ ატების
ბეილი	ბე ილი
თანამშრომლობს	თანამშრომლ ობს
მძევლების	მძევლ ების
პრეფიქსი	პრე ფიქს ი
წარწერათა	წარწერ ათა
ფოსტა	ფოსტ ა
მოწყობილობაა	მოწყობილობ აა
ტურისტთა	ტურისტ თა
პორტ	პორტ
თემები	თემ ები
ქრისტესი	ქრისტე სი
ნორმა	ნორ მა
გადაღება	გადაღებ ა
კერამიკულ	კერამიკ ულ
ლინდემანი	ლინდ ემანი
ქრომოსომათა	ქრომოსომ ათა
შეცდომების	შეცდომ ების
მოედნიდან	მოედნ იდან
სხვებიც	სხვ ებიც
გამოსაშვებ	გამოსა შვებ
გზადაგზა	გზა დაგზა
ვიტი	ვიტ ი
გენი	გენ ი
საკონცენტრაციო	სა კონცენტრაცი ო
სიმღერის	სიმღერ ის
ხევში	ხევ ში
შტურმი	შტურმ ი
სომეხს	სომეხ ს
სახაზინო	სა ხაზინ ო
ელემენტებსაც	ელემენტ ებსაც
სასწორის	სა სწორ ის
ტრასის	ტრას ის
აეროდრომის	აეროდრომ ის
ბატონიშვილები	ბატონიშვილ ები
ადოლფ	ადოლფ
ფუად	ფუ ად
ადოლფო	ადოლფ ო
გაეხვია	გაეხვ ია
ზოგიც	ზოგ იც
მარცვლები	მარცვლ ები
ჩანაწერების	ჩანაწერ ების
ბარიერი	ბარიერ ი
ფილტვების	ფილტვ ების
ვესტერნის	ვესტერნ ის
ძუძუმწოვრები	ძუძუმწოვრ ები
აგვისტომდე	აგვისტ ომდე
გაფრინდაშვილის	გაფრინდა შვილის
ხანაშიც	ხან აშიც
სერბებმა	სერბ ებმა
დარწმუნებულია	დარწმუნებულ ია
დაგელოდებით	დაგ ელოდ ებით
აღმართეს	აღმართ ეს
მასების	მას ების
ადგილებია	ადგილ ებია
ლილვების	ლილვ ების
მიგრაცია	მიგრაცი ა
ჩუქჩების	ჩუქჩ ების
გაჩერება	გაჩერ ება
ლოკალიზაცია	ლოკ ალიზაცია
გარეგნულ	გარეგნ ულ
სარტყელში	სარტყელ ში
ხორვატიაში	ხორვატი აში
იურისტთა	იურისტ თა
ჯარისკაცმა	ჯარისკაც მა
გვერდზე	გვერდ ზე
ჩააყენა	ჩააყენ ა
გამოწვეულ	გამოწვეულ
მარკუსი	მარკ უსი
პორტუგალიელებმა	პორტუგალიელ ებმა
გავითვალისწინოთ	გავ ითვალისწინ ოთ
ძლიერების	ძლიერ ების
ალასკა	ალასკ ა
იამაიკა	იამაიკ ა
ვილნიუსში	ვილნიუს ში
მოღვაწეობასაც	მოღვაწეობ ასაც
დროებითი	დროებით ი
მოვლენებს	მოვლენ ებს
დანამატი	დანამატ ი
კონკრეტული	კონკრეტულ ი
სამსახურები	სამსახურ ები
ევროატლანტიკურ	ევრო ატლანტიკურ
დოქი	დოქ ი
სააკაშვილის	სააკაშვილ ის
ბოლოთი	ბოლო თი
დაუსრულებელი	დაუსრულებ ელი
დეკორაცია	დეკორაცი ა
დამარილებულს	დამარილებულ ს
ფიოდორ	ფი ოდორ
ასევე	ას ევე
გიტარისტები	გიტარისტ ები
ლამაზად	ლამაზ ად
შეფასების	შეფასებ ის
